id,max pitch,min pitch,mean pitch,num change points,standard deviation,zero cross,loudness
1.0,2636.3564453125,161.21923828125,1281.544921875,52.0,971.3006591796875,56.0,0.9668258428573608
2.0,3811.168212890625,153.8236083984375,1556.8221435546875,66.0,1088.582275390625,124.0,0.6148989200592041
3.0,2506.23583984375,149.44923400878906,642.2674560546875,271.0,467.8342590332031,388.0,0.7796139121055603
4.0,2689.693359375,159.16973876953125,1097.8358154296875,215.0,655.32177734375,271.0,0.7112131714820862
5.0,2537.61474609375,149.6800994873047,964.0340576171875,252.0,440.78277587890625,318.0,0.001545005477964878
6.0,2325.567138671875,162.75360107421875,900.0698852539062,87.0,629.7465209960938,147.0,1.0411756038665771
7.0,2616.64599609375,147.5514373779297,730.8638305664062,86.0,591.7526245117188,103.0,0.6033272743225098
8.0,2943.57763671875,291.9632263183594,984.4237060546875,113.0,458.4029541015625,173.0,0.6140604615211487
9.0,3821.281005859375,173.10243225097656,1299.001953125,189.0,883.3969116210938,283.0,0.8419787287712097
10.0,3555.72705078125,145.7302703857422,964.0621337890625,49.0,850.1275024414062,75.0,0.4368535280227661
11.0,1742.747314453125,160.95643615722656,533.4266967773438,80.0,312.6826477050781,134.0,0.6166298389434814
12.0,2908.4775390625,171.24969482421875,1110.7503662109375,167.0,647.4945678710938,238.0,0.672130823135376
13.0,2350.879150390625,146.14739990234375,449.8846130371094,58.0,389.03375244140625,84.0,0.7501925230026245
14.0,2327.98486328125,151.56222534179688,1020.3113403320312,60.0,681.0142211914062,128.0,0.8009469509124756
15.0,2726.391357421875,176.2350616455078,969.0368041992188,168.0,686.580322265625,230.0,0.6457563042640686
16.0,3812.230712890625,146.02239990234375,1013.4630126953125,59.0,859.995361328125,96.0,0.2576373815536499
17.0,2566.46337890625,151.8258819580078,751.9829711914062,127.0,625.61181640625,226.0,0.5187252163887024
18.0,2901.338623046875,232.31617736816406,1074.9571533203125,106.0,594.8948974609375,160.0,0.5445790886878967
19.0,1379.738037109375,145.59857177734375,445.3586120605469,54.0,272.5462951660156,80.0,0.6774135828018188
20.0,2318.703857421875,160.226318359375,869.5078735351562,91.0,582.7054443359375,139.0,0.7662729024887085
21.0,3402.264892578125,160.3359375,1552.87744140625,134.0,994.7822875976562,206.0,0.031461771577596664
22.0,2665.719970703125,170.8028106689453,770.2958984375,71.0,493.86578369140625,106.0,0.7237833142280579
23.0,2757.275146484375,171.88775634765625,821.4910888671875,101.0,576.3802490234375,174.0,0.44609472155570984
24.0,3971.440673828125,152.76263427734375,783.0498046875,55.0,638.2200317382812,91.0,0.4647708535194397
25.0,3992.130859375,227.2775421142578,1181.4271240234375,122.0,869.712890625,209.0,0.513142466545105
26.0,1324.157958984375,158.73667907714844,601.5779418945312,102.0,319.4878234863281,112.0,0.6569107174873352
27.0,3989.433349609375,248.16810607910156,2144.519775390625,86.0,1278.616943359375,169.0,0.3969130218029022
28.0,2618.878173828125,198.1751251220703,891.0328979492188,114.0,477.0079650878906,140.0,0.6017948985099792
29.0,3997.198974609375,154.86642456054688,1503.0084228515625,230.0,1123.6441650390625,310.0,0.7696145176887512
30.0,2619.59033203125,146.29896545410156,871.7062377929688,52.0,770.3939819335938,93.0,0.6210154294967651
31.0,3946.96630859375,170.51673889160156,1134.266845703125,125.0,724.0254516601562,187.0,0.5005304217338562
32.0,3982.36572265625,151.63182067871094,993.6547241210938,212.0,720.1114501953125,310.0,0.2577141523361206
33.0,3549.6298828125,153.62203979492188,1438.234130859375,107.0,875.9089965820312,190.0,0.6902129054069519
34.0,2522.268798828125,149.414306640625,1012.224365234375,138.0,613.7653198242188,230.0,0.024754587560892105
35.0,2554.077880859375,145.38356018066406,653.0587768554688,54.0,515.030029296875,97.0,0.9396570920944214
36.0,3865.49560546875,219.30856323242188,1540.4697265625,81.0,1065.2840576171875,96.0,0.7681116461753845
37.0,3987.1982421875,217.186767578125,2277.907958984375,96.0,1402.7479248046875,155.0,0.4304603636264801
38.0,3580.2861328125,196.15003967285156,847.9970092773438,156.0,610.3250122070312,205.0,0.940780520439148
39.0,2821.01123046875,149.62213134765625,738.53564453125,113.0,429.1118469238281,163.0,1.1463171243667603
40.0,3559.13134765625,156.95372009277344,1154.536376953125,189.0,854.5142822265625,258.0,0.7601603865623474
41.0,2633.843505859375,212.38536071777344,758.0401000976562,78.0,496.52142333984375,100.0,0.4014758765697479
42.0,3996.673828125,148.26239013671875,2130.716552734375,231.0,1112.7996826171875,427.0,1.689496093604248e-05
43.0,3837.01904296875,3533.865966796875,3632.585693359375,11.0,137.2455596923828,16.0,0.012983378022909164
44.0,3170.84716796875,244.6374969482422,1256.8455810546875,145.0,777.4024658203125,252.0,0.5728211402893066
45.0,2693.064697265625,222.5758819580078,1349.781005859375,135.0,776.451416015625,229.0,0.6029275059700012
46.0,3971.916748046875,215.65284729003906,1135.557861328125,109.0,802.2182006835938,121.0,0.8186942934989929
47.0,2576.768798828125,145.41162109375,761.001953125,118.0,563.1555786132812,172.0,0.6011801958084106
48.0,1429.845947265625,171.05105590820312,697.5654907226562,92.0,350.7165222167969,126.0,0.500943660736084
49.0,3977.7998046875,185.9344940185547,1218.9169921875,288.0,797.4924926757812,425.0,0.9096388816833496
50.0,3871.896728515625,290.669677734375,982.8524169921875,60.0,926.3662109375,96.0,0.2589133083820343
51.0,3940.21533203125,192.2265625,1547.07470703125,282.0,937.8881225585938,372.0,0.3078220784664154
52.0,3932.914794921875,334.1696472167969,1386.7498779296875,102.0,921.3634033203125,176.0,1.0467716455459595
53.0,2933.978759765625,173.585693359375,983.9680786132812,144.0,681.2998046875,218.0,0.8583694696426392
54.0,2700.58642578125,169.80255126953125,656.1535034179688,94.0,432.6810302734375,144.0,0.9764501452445984
55.0,3992.635498046875,148.13015747070312,2127.270263671875,185.0,1103.218017578125,406.0,9.265727385354694e-06
56.0,3998.548583984375,218.3731231689453,2441.25341796875,131.0,1331.0308837890625,167.0,0.7342625260353088
57.0,2679.078369140625,267.30853271484375,1030.4761962890625,70.0,631.7063598632812,103.0,0.5382125973701477
58.0,2936.329833984375,204.47166442871094,1102.4464111328125,121.0,763.20458984375,179.0,0.31066691875457764
59.0,2981.579345703125,224.6746063232422,1031.8050537109375,167.0,571.2113647460938,240.0,0.9282590746879578
60.0,1552.985595703125,171.97866821289062,623.9698486328125,74.0,400.258544921875,128.0,0.6300364136695862
61.0,2261.16015625,147.9575958251953,605.02783203125,57.0,408.8687744140625,80.0,1.0071866512298584
62.0,1326.72314453125,185.9769287109375,646.9218139648438,57.0,329.943603515625,71.0,0.3960549533367157
63.0,3998.791748046875,157.54443359375,1138.2025146484375,297.0,799.979248046875,387.0,1.0882996320724487
