id,max pitch,min pitch,mean pitch,num change points,standard deviation,zero cross,loudness
1.0,3747.093017578125,299.60748291015625,1273.803955078125,101.0,792.3641357421875,182.0,0.614475667476654
2.0,3999.147705078125,326.3777160644531,2109.433837890625,1625.0,926.0097045898438,2034.0,0.014051836915314198
3.0,2919.73681640625,229.3289794921875,1514.7567138671875,116.0,830.7796630859375,198.0,0.7783985733985901
4.0,3965.712646484375,173.1278839111328,1213.07470703125,120.0,825.979248046875,192.0,0.6497181057929993
5.0,2603.383544921875,149.18032836914062,822.3405151367188,171.0,676.5724487304688,268.0,0.27883294224739075
6.0,1391.2552490234375,160.607421875,675.308837890625,165.0,317.50762939453125,201.0,0.6560087203979492
7.0,3986.91650390625,159.3783721923828,1077.6171875,328.0,673.3363647460938,443.0,0.9072694182395935
8.0,3998.265380859375,147.0227813720703,1202.8262939453125,56.0,1313.2735595703125,89.0,0.3056444823741913
9.0,2648.70263671875,161.96688842773438,941.734619140625,143.0,628.6058349609375,207.0,0.5775531530380249
10.0,2937.15576171875,234.475341796875,1518.35986328125,141.0,823.5269775390625,249.0,0.8238973021507263
11.0,3991.52978515625,199.35293579101562,1135.6187744140625,170.0,742.5506591796875,233.0,0.6265890002250671
12.0,2711.69189453125,146.9704132080078,863.4454956054688,200.0,619.1446533203125,302.0,0.23982031643390656
13.0,2693.039306640625,162.36753845214844,760.3253784179688,165.0,413.95947265625,212.0,0.5218026041984558
14.0,2682.072509765625,162.14913940429688,928.7310180664062,251.0,529.7643432617188,372.0,0.6277372241020203
15.0,3978.2529296875,145.8759002685547,1576.5489501953125,36.0,1508.756103515625,100.0,0.4311450123786926
16.0,3239.74560546875,147.86834716796875,963.1739501953125,196.0,787.374267578125,277.0,0.6322587132453918
17.0,3995.39599609375,169.66136169433594,1155.3695068359375,173.0,723.5108642578125,194.0,0.6473408937454224
18.0,2717.48828125,160.95240783691406,733.6031494140625,83.0,414.4510192871094,128.0,0.7642573118209839
19.0,2760.246826171875,152.16201782226562,942.0421142578125,104.0,733.7109375,159.0,0.5911533832550049
20.0,2596.259521484375,159.17059326171875,614.4557495117188,98.0,406.8706359863281,134.0,0.4468962550163269
21.0,2597.87548828125,172.91152954101562,705.3040771484375,73.0,448.56427001953125,117.0,0.5095098614692688
22.0,2714.628662109375,259.7367858886719,1012.4244384765625,27.0,609.6914672851562,46.0,0.5251621007919312
23.0,2942.5703125,272.00335693359375,1388.177001953125,62.0,838.6319580078125,104.0,0.8599585294723511
24.0,3224.09033203125,195.18833923339844,1057.8258056640625,366.0,650.2242431640625,512.0,0.5494129061698914
25.0,2640.489990234375,171.58775329589844,804.3963012695312,183.0,705.1859130859375,241.0,0.5118375420570374
26.0,3998.130859375,146.66683959960938,2089.26904296875,1527.0,1103.66064453125,2407.0,4.5015924115432426e-05
27.0,3605.48779296875,223.77418518066406,1280.503173828125,97.0,788.4071655273438,148.0,0.7542672157287598
28.0,3989.09130859375,170.48135375976562,935.7875366210938,218.0,562.4364624023438,277.0,0.7605785727500916
29.0,2425.390380859375,146.40480041503906,698.8475952148438,121.0,592.5911254882812,182.0,0.31791990995407104
30.0,2609.698486328125,161.5399169921875,885.1331176757812,119.0,633.0272827148438,180.0,0.5838518142700195
31.0,3996.550537109375,168.69068908691406,1333.361572265625,325.0,989.1761474609375,453.0,0.9617812037467957
