id,max pitch,min pitch,mean pitch,num change points,standard deviation,zero cross,loudness
150.0,2590.1728515625,145.66456604003906,744.0833129882812,61.0,605.767333984375,121.0,0.18841078877449036
151.0,2589.83203125,145.81015014648438,1023.7566528320312,60.0,747.9852294921875,137.0,0.49668923020362854
152.0,3962.717041015625,146.32388305664062,1461.4798583984375,253.0,1141.7276611328125,328.0,0.1839541643857956
153.0,1025.608154296875,146.015625,353.9862976074219,18.0,140.90768432617188,34.0,0.36288323998451233
154.0,2649.359619140625,145.49725341796875,768.0296630859375,112.0,568.304443359375,152.0,0.5528528690338135
155.0,3724.637451171875,145.59829711914062,805.2160034179688,132.0,694.0175170898438,198.0,0.32657191157341003
156.0,2595.12060546875,146.13766479492188,716.1740112304688,76.0,716.6154174804688,101.0,0.32242876291275024
157.0,1808.0792236328125,146.3489227294922,450.510986328125,20.0,336.8476257324219,61.0,0.10366635024547577
158.0,1525.365478515625,145.5855712890625,563.6349487304688,92.0,397.78814697265625,121.0,0.4841107130050659
159.0,3963.833740234375,146.26405334472656,1595.1318359375,149.0,1274.0806884765625,223.0,0.537348210811615
160.0,3986.553955078125,146.0565185546875,938.1470947265625,138.0,822.54150390625,212.0,0.5094075798988342
161.0,2625.435791015625,148.65330505371094,616.4972534179688,97.0,552.1630859375,127.0,0.7824465036392212
162.0,2528.728759765625,147.62701416015625,663.7109375,105.0,509.1531982421875,148.0,0.7089505195617676
163.0,2500.198486328125,145.62489318847656,778.1420288085938,38.0,792.1749267578125,73.0,0.262152761220932
164.0,2894.37890625,190.80245971679688,1087.7620849609375,172.0,613.6155395507812,271.0,0.5217409133911133
165.0,2717.085205078125,219.99600219726562,1046.165283203125,132.0,620.7518920898438,163.0,0.6366956830024719
166.0,3929.3486328125,145.87957763671875,1181.00634765625,161.0,1007.8236083984375,253.0,0.3667975664138794
167.0,3019.32177734375,146.612548828125,937.46337890625,96.0,655.566162109375,144.0,0.2874442934989929
168.0,2403.57861328125,145.71337890625,700.2333984375,89.0,573.5928955078125,130.0,0.5444787740707397
169.0,3987.186279296875,146.32350158691406,1207.078125,169.0,852.24609375,224.0,0.36798468232154846
170.0,3015.9189453125,189.03060913085938,1242.6934814453125,168.0,753.4651489257812,261.0,0.7532923817634583
171.0,3960.664306640625,178.14126586914062,1230.2314453125,174.0,691.8585815429688,243.0,0.7875571250915527
172.0,2641.419189453125,145.77259826660156,765.83154296875,149.0,556.0023193359375,212.0,0.5447496771812439
173.0,2553.856201171875,146.4234161376953,618.6672973632812,75.0,491.0653991699219,150.0,0.11978970468044281
174.0,2521.135986328125,145.60752868652344,471.2810363769531,10.0,583.561279296875,40.0,0.08656332641839981
175.0,2518.952392578125,147.3451385498047,763.0797729492188,155.0,542.3052978515625,214.0,0.22622348368167877
176.0,2490.5546875,148.11012268066406,702.2987670898438,102.0,456.6293029785156,168.0,0.370240181684494
177.0,3996.243408203125,494.5270080566406,2098.7392578125,114.0,986.62109375,146.0,0.23085053265094757
178.0,2491.799072265625,145.99314880371094,874.2970581054688,141.0,590.4006958007812,233.0,0.2225864678621292
179.0,2723.153564453125,153.9054412841797,1359.4034423828125,155.0,744.9409790039062,251.0,0.6301149129867554
180.0,2674.725830078125,162.67156982421875,1040.1761474609375,139.0,549.8334350585938,185.0,0.844535768032074
181.0,2737.33251953125,217.40623474121094,934.9213256835938,96.0,503.83074951171875,161.0,1.0047941207885742
182.0,3576.262939453125,248.77349853515625,1360.4049072265625,131.0,923.4575805664062,173.0,0.2641158998012543
183.0,2671.884765625,145.95068359375,854.7991943359375,214.0,623.349365234375,278.0,0.5638861656188965
184.0,2989.141357421875,145.42323303222656,945.9318237304688,227.0,804.8983764648438,343.0,0.32224002480506897
185.0,3705.564697265625,146.30563354492188,1046.7579345703125,108.0,1004.20458984375,163.0,0.12383290380239487
186.0,3252.6123046875,159.01168823242188,1062.5753173828125,280.0,828.3203125,465.0,0.5850209593772888
187.0,2757.127685546875,168.6956787109375,1064.5997314453125,225.0,771.12255859375,331.0,0.6645379066467285
188.0,3541.50439453125,151.14651489257812,941.734375,238.0,691.7179565429688,349.0,0.9142105579376221
189.0,2731.669677734375,160.65081787109375,971.8624877929688,242.0,724.5493774414062,354.0,0.8963068127632141
190.0,3935.2939453125,145.60313415527344,944.1057739257812,218.0,556.81640625,332.0,0.31769293546676636
191.0,2979.9970703125,151.1230926513672,1194.4735107421875,188.0,800.3623657226562,267.0,0.8164433836936951
192.0,2464.304931640625,145.50965881347656,765.1001586914062,206.0,444.5361022949219,285.0,0.5530171394348145
193.0,1962.05322265625,145.59844970703125,730.1456909179688,98.0,455.2275390625,142.0,0.22127540409564972
194.0,3996.457763671875,165.74655151367188,1289.595458984375,76.0,1058.0096435546875,112.0,0.7399449944496155
