id,max pitch,min pitch,mean pitch,num change points,standard deviation,zero cross,loudness
1.0,2701.06884765625,171.61158752441406,1216.2694091796875,78.0,932.6742553710938,139.0,0.7681882977485657
2.0,2491.8603515625,150.04322814941406,778.9043579101562,189.0,458.10711669921875,265.0,0.1082753837108612
3.0,3666.118408203125,303.2369384765625,835.7908325195312,85.0,525.1771240234375,117.0,0.46275636553764343
4.0,3965.120361328125,150.21279907226562,1556.9000244140625,252.0,1095.8721923828125,374.0,0.16669785976409912
5.0,3754.150390625,240.96456909179688,1398.387939453125,76.0,918.7914428710938,159.0,0.596468448638916
6.0,2670.659912109375,160.05055236816406,1214.622314453125,125.0,939.9744262695312,170.0,0.4439801871776581
7.0,1506.555908203125,150.0894317626953,627.185791015625,46.0,382.1546936035156,74.0,0.8779248595237732
8.0,3513.2890625,160.46981811523438,1097.5919189453125,180.0,713.312744140625,273.0,0.49150264263153076
9.0,1570.10888671875,163.92369079589844,656.9690551757812,40.0,405.93963623046875,60.0,1.1379066705703735
10.0,537.421142578125,145.45343017578125,351.7327575683594,23.0,113.48198699951172,45.0,0.42232707142829895
11.0,2657.180908203125,146.4720916748047,945.3851928710938,48.0,763.8807373046875,86.0,0.480602890253067
12.0,2971.69384765625,236.6261444091797,1414.8421630859375,145.0,774.965576171875,220.0,0.5308573246002197
13.0,2640.738525390625,170.19992065429688,833.8658447265625,130.0,517.0306396484375,209.0,0.6773544549942017
14.0,2648.155517578125,154.41195678710938,836.7545166015625,75.0,777.5830078125,118.0,0.39147067070007324
15.0,2518.32861328125,151.06890869140625,1019.0758666992188,46.0,798.001953125,80.0,0.5519343018531799
16.0,3791.10595703125,216.10696411132812,1335.1627197265625,183.0,774.05029296875,298.0,0.3465651869773865
17.0,1719.603271484375,148.1785125732422,481.2506103515625,25.0,391.8153991699219,40.0,0.4069490432739258
18.0,1992.646484375,147.43968200683594,742.3878173828125,56.0,569.0805053710938,79.0,0.6667898893356323
19.0,3996.4658203125,146.59536743164062,2162.66845703125,392.0,965.6640625,470.0,0.2847520709037781
20.0,2716.751220703125,217.23402404785156,1184.8145751953125,90.0,756.7434692382812,105.0,0.646436870098114
21.0,1921.575439453125,161.18482971191406,767.42724609375,157.0,404.29034423828125,229.0,0.6101598739624023
22.0,3059.55810546875,148.15682983398438,749.7525634765625,170.0,555.5021362304688,239.0,0.6929518580436707
23.0,2512.994384765625,149.65774536132812,984.7533569335938,93.0,777.0140380859375,118.0,0.5728833079338074
24.0,3965.32568359375,246.42999267578125,1757.167724609375,152.0,906.15966796875,247.0,0.26791542768478394
25.0,2743.47802734375,153.5829315185547,1003.0484619140625,244.0,699.605224609375,342.0,0.6924088597297668
26.0,3977.466552734375,150.6304931640625,1183.5172119140625,114.0,1005.0958251953125,199.0,0.21189086139202118
27.0,2885.393798828125,248.26010131835938,982.94091796875,135.0,409.3739929199219,190.0,0.8489970564842224
28.0,2559.604248046875,148.84730529785156,1126.7542724609375,84.0,890.35009765625,143.0,0.4284648299217224
29.0,2507.505859375,156.77755737304688,723.6390380859375,40.0,506.2191467285156,74.0,0.7148760557174683
30.0,3906.41162109375,148.2807159423828,1581.9544677734375,384.0,1136.8558349609375,580.0,0.031634096056222916
31.0,3444.761474609375,225.2220916748047,1042.88720703125,125.0,697.1231689453125,196.0,0.5539861917495728
32.0,1892.505126953125,199.69993591308594,539.763916015625,41.0,427.6790466308594,56.0,0.34188371896743774
33.0,2179.75537109375,147.0692138671875,686.3397216796875,75.0,414.7388916015625,106.0,0.6146523356437683
34.0,3305.9697265625,147.54661560058594,1258.5694580078125,159.0,813.5516967773438,252.0,0.07643444836139679
35.0,2493.797119140625,162.43911743164062,891.7850341796875,78.0,677.0919189453125,106.0,1.2370907068252563
36.0,3246.015869140625,158.88584899902344,787.1451416015625,135.0,585.8697509765625,188.0,0.6439444422721863
37.0,3980.81787109375,190.7562713623047,1168.2857666015625,195.0,829.7798461914062,307.0,0.9071143269538879
38.0,3995.607666015625,158.7039031982422,1440.952880859375,75.0,1171.410888671875,142.0,0.8087319731712341
39.0,2738.078369140625,154.25390625,1002.7174682617188,101.0,868.8827514648438,156.0,0.6123971343040466
40.0,2907.430419921875,215.6658172607422,912.1161499023438,111.0,719.7122192382812,169.0,0.6188722848892212
41.0,1782.237060546875,147.9055938720703,595.7361450195312,267.0,418.4222717285156,362.0,0.1469375044107437
42.0,3271.291259765625,282.6063232421875,1071.2335205078125,40.0,664.3534545898438,48.0,0.9258042573928833
43.0,2649.55126953125,249.40699768066406,902.4080810546875,63.0,532.8026733398438,90.0,0.7023417353630066
44.0,2671.53564453125,152.33657836914062,972.1434326171875,119.0,628.177490234375,197.0,0.3005930781364441
45.0,3970.196044921875,204.21351623535156,1150.12939453125,118.0,734.3010864257812,186.0,0.867592453956604
46.0,2631.07861328125,145.54925537109375,903.3775024414062,66.0,665.327392578125,110.0,0.5468879342079163
47.0,2648.247314453125,219.19833374023438,1090.7564697265625,62.0,714.8433227539062,94.0,0.5487270355224609
48.0,3316.191162109375,148.44163513183594,1693.5191650390625,1100.0,886.8993530273438,1518.0,0.01258526835590601
49.0,3974.65087890625,145.9230499267578,908.2335205078125,72.0,618.68115234375,114.0,0.5403364300727844
50.0,3992.574951171875,328.7375183105469,1634.041259765625,51.0,1050.6925048828125,102.0,0.3304592967033386
51.0,2730.525634765625,261.7325134277344,1349.1876220703125,88.0,805.8875732421875,134.0,0.688117265701294
52.0,3993.788818359375,197.35891723632812,1874.0511474609375,189.0,1372.195556640625,298.0,0.13269473612308502
53.0,3403.8388671875,267.6294250488281,1026.225830078125,82.0,589.9823608398438,98.0,0.8471339344978333
54.0,2671.823486328125,290.7312927246094,1084.3536376953125,50.0,524.9830322265625,56.0,1.2642385959625244
55.0,2968.616943359375,296.9778137207031,1456.159423828125,24.0,872.1094970703125,39.0,1.200199007987976
56.0,3301.208984375,259.8022766113281,780.7111206054688,41.0,566.3158569335938,64.0,0.5662197470664978
57.0,1544.521484375,193.72434997558594,771.1315307617188,83.0,427.4798889160156,118.0,1.2897839546203613
58.0,1166.9688720703125,146.35061645507812,410.8064880371094,15.0,275.0607604980469,42.0,0.1759481579065323
59.0,2788.927978515625,188.32691955566406,1068.3167724609375,49.0,725.988525390625,73.0,0.6157221794128418
60.0,1756.058837890625,146.27902221679688,708.0078735351562,70.0,437.8589172363281,108.0,0.6240814328193665
61.0,2670.73974609375,331.04364013671875,1281.494384765625,38.0,752.1956176757812,81.0,0.7462572455406189
62.0,2703.77099609375,292.7707824707031,1028.029052734375,107.0,580.4189453125,152.0,0.8121906518936157
63.0,1627.2646484375,149.9645538330078,612.880859375,63.0,480.2767333984375,103.0,0.22418417036533356
64.0,2279.700439453125,146.4239959716797,641.2363891601562,93.0,383.8308410644531,126.0,0.06220711022615433
65.0,2586.498046875,145.69393920898438,825.6334228515625,55.0,707.0703125,93.0,0.3501277565956116
66.0,2781.185546875,146.95452880859375,737.369140625,384.0,433.2991638183594,538.0,0.08789996057748795
67.0,2781.31591796875,187.68670654296875,1218.8544921875,127.0,669.2547607421875,209.0,0.18965809047222137
68.0,3995.8701171875,146.31005859375,1799.5267333984375,270.0,971.598388671875,355.0,0.12195901572704315
69.0,2371.605712890625,161.53456115722656,839.4561767578125,88.0,593.3111572265625,122.0,0.6878451704978943
70.0,3986.19580078125,157.9867706298828,807.7423706054688,44.0,685.85791015625,98.0,0.3855164349079132
71.0,2368.659423828125,145.6240234375,681.4337768554688,131.0,488.577880859375,178.0,0.8560879826545715
72.0,3985.668701171875,202.7672882080078,1200.7169189453125,80.0,881.3169555664062,113.0,0.7431410551071167
73.0,1392.400146484375,205.121337890625,527.9214477539062,83.0,323.2252197265625,120.0,0.23211674392223358
74.0,3926.9052734375,151.09738159179688,1344.4417724609375,119.0,1339.2867431640625,192.0,0.07273281365633011
75.0,1515.038818359375,147.43319702148438,808.8521118164062,290.0,446.9959411621094,425.0,0.09369870275259018
76.0,3997.62841796875,193.5120391845703,2462.345458984375,1135.0,1195.117431640625,1387.0,0.00671406602486968
77.0,3998.508056640625,146.73077392578125,1459.481689453125,831.0,1128.885009765625,1008.0,0.0013881399063393474
78.0,3883.968994140625,147.37745666503906,1075.34814453125,271.0,1111.139404296875,423.0,0.004522290080785751
79.0,3464.783447265625,147.4042205810547,745.4044189453125,343.0,433.0765686035156,482.0,0.04974038898944855
80.0,2692.169677734375,164.52432250976562,926.2178955078125,251.0,571.57958984375,308.0,0.6379714012145996
81.0,2543.781494140625,160.14398193359375,769.5758666992188,161.0,467.687744140625,258.0,0.6042953729629517
82.0,3571.279541015625,167.39102172851562,1211.4930419921875,207.0,763.6555786132812,303.0,0.8357815146446228
83.0,3984.6123046875,152.82298278808594,1263.3016357421875,226.0,1004.7301025390625,311.0,0.8245168328285217
