id,max pitch (Cents),min pitch (Cents),mean pitch (Cents),num change points,standard deviation (Cents),zero cross,loudness,amplitude envelope,band energy ratio,spectral centroid (Cents),spectral bandwidth (Cents),mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,is_sa,is_ri,is_pa,is_ni,is_ma,is_ga,is_dha
1.0,0.8403266799302767,-0.5793863901646575,-0.5976608896917356,0.41257983316850516,-0.6900295704183504,-0.4545052112308539,-1.2446450145151027,-1.1564853466351104,0.8035094863993025,-1.0547256682100477,-1.3181308084931516,-0.4544155990671585,1.6151512583864935,-0.5833661945014754,1.3891990947420965,-0.010570126812429855,0.5900360861825541,0.44538892073623626,-1.6497321810726497,0.5013829766106987,-0.2770245558331568,2.1709253694863286,0.6076477064123833,0.1396517854009104,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,-2.0737578901245377,-0.5930903541266473,-0.9146152738514378,-0.13884044872980375,-1.3720484583282095,-0.5166562541170406,-1.1849181689538473,-1.1753763963597974,0.6926207818707598,-1.2241285388311816,-1.4468668472321111,-0.3499352213148292,1.802599527070712,-0.22670965753088776,0.7881289548446997,-0.8617637678076908,0.8885365168962687,1.6144508561893673,-0.7640275439492648,-0.40360580282734,-0.3295686906529001,1.0312720198056489,-0.16254839224009995,1.124756388426863,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.0,-1.8321766835107067,-0.553377769283708,-1.0681299930903767,0.7301979155419311,-1.1191539597605942,-0.6081021851933297,-1.2828259019256951,-1.1873285530036066,0.0278460964018469,-0.9535309810280861,-0.6675548989504491,-0.5357194665490281,1.0885754897788764,0.6712689317902688,0.7918891309643165,-0.06382390057471221,1.7974230676693106,0.5929602755248949,-1.0316492159077835,0.5242612255287514,0.038964811306429495,2.3852908728673308,0.5943570369053853,-0.2262377738566901,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.9901842201478369,-0.5370851888282423,1.5438264636077044,0.8669501454527118,1.5114660118109287,-0.44834801911246264,-1.5838471933765519,-1.5443963653649788,0.5841087189254945,-1.1225433140464227,-1.4367388978297135,-1.2720745646287202,1.165513134560113,-0.47684445672395664,0.9909554501349394,2.934778310519639,1.0591885796790899,1.266267721319246,1.1734374664586116,-0.16375741240190642,1.1122524211214158,-0.0035658476540589364,-1.2727862712610587,1.6208414559180873,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5.0,-1.0468018378649655,-0.5991541002056094,-2.397745812926108,-0.0726700149020067,-1.1321945193482583,-0.7248003374120042,-1.6952500664416867,-1.6415106832898971,-0.28716936504495955,-0.8820371311375809,0.7375199451292394,-2.3339974763712963,-0.01171154714267053,2.638374834701497,1.2218503452709937,3.3131052624665935,1.5181454036369117,0.6203723909324325,1.6184646822957387,0.9828762507392372,0.8530188816245421,-1.1491754453312242,-2.0972132269152,0.9962515796466646,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.0,0.9652724588520909,-0.5673682158670863,-1.2647320412632237,-0.3682312859995003,-0.023965498228674838,-0.7339076426568615,-1.2184649612323855,-1.2362185123979985,0.6633462690050728,-1.6841585245862853,-1.1122201974201895,-0.9934462770163155,0.8869558702458966,2.044280097411653,1.6843873867550498,0.03583575840903727,0.8672881180599991,2.6053102562599166,2.607792354799003,1.929252983935522,-0.6056049904557252,0.41829375277965736,0.9886636506481383,-0.42645870059749674,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.0,-2.0231279906388493,-0.5468909455598696,-0.9762336941788787,-0.23589041834390614,-1.1732083135266262,-0.5862925043066476,-0.9117594388264135,-0.9940517662507615,0.36032869384892285,-1.0727769055576222,-1.0133087166471253,-0.037535887737995446,1.5681054451447138,-0.18797434924173115,1.173461066770514,-0.38543005218544485,0.8477063918343933,1.3754669268346762,-0.18738091168213183,-0.11802849937508333,-0.8432812243368975,1.5520296425148485,0.03770893489181877,0.6257689301560909,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8.0,0.8374990211977064,-0.600830480547648,0.06111852256724779,0.0684935772639604,0.9311301871524684,-0.3015769640641057,-1.0232585689488112,-0.9033901624824262,0.07133450288325677,0.1839735272709796,-0.01167696555667596,-0.622455116439368,-0.6071055930126166,0.17483661765485045,2.445430733348621,0.15282496874947585,-1.2387843907299434,-0.1937268503693558,-1.862656865553567,0.08891147416169548,-1.0695765041216947,1.7584918998701748,2.348491885538341,-1.0873908692030523,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,-0.2565259065722195,-0.57602175709574,-0.4835678355116199,1.272795472929867,-0.19270569066261956,-0.4536069945761062,-0.8480528745439656,-0.6480566792606769,-0.06059750080656639,-0.7217870345394094,-0.6990094826772354,0.07837437398099348,1.0697235431761214,-0.0568507325373587,0.6125592961710449,0.05348666537717194,0.9433882183832805,-0.38681166477088963,0.1224804122465578,0.12455529157136296,-0.3182657937768465,1.7684608343037178,0.5237442280511312,0.5185513846019605,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10.0,0.5650481919704041,-0.5893801097016639,-0.8878061935331986,-0.09472682617793905,-1.0849553393527294,-0.4986709241603111,-0.46542566118114465,-0.4568898636947794,-0.3027820120596874,-0.5733479839912096,-0.025749981344272813,0.36511739473709026,0.8443291537111085,0.5547359308769976,0.040761222126670014,0.019484436975943153,-0.205581205011935,0.7367582275476584,1.7502913251380579,-1.7495110858835363,1.435948712046433,-0.29987309134584583,0.7223676773447592,1.1016087897358202,0.0,0.0,0.0,1.0,0.0,0.0,0.0
