id,max pitch,min pitch,mean pitch,num change points,standard deviation,zero cross,loudness,amplitude envelope,band energy ratio,spectral centroid,spectral bandwidth,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,is_sa,is_ri,is_pa,is_ni,is_ma,is_ga,is_dha
835.0,3851.22265625,147.32061767578125,1503.9039306640625,149.0,903.42822265625,0.08147321428571429,0.030259326100349426,0.06471031159162521,18.07335662841797,2113.018411889362,1959.9835646254041,-302.74853515625,68.46318054199219,-35.19443130493164,76.8943099975586,10.603169441223145,-19.479581832885742,-52.98906707763672,-18.993650436401367,0.7806467413902283,-22.467119216918945,-19.83395767211914,3.448707103729248,-10.761744499206543,0.0,0.0,0.0,0.0,1.0,0.0,0.0
836.0,3994.458740234375,158.8658905029297,1566.341064453125,386.0,973.8240966796875,0.106201171875,0.03465357422828674,0.08037731051445007,19.526952743530273,2233.136198952127,1948.4693902903316,-284.091552734375,64.25059509277344,-39.087066650390625,65.9085922241211,-5.231078147888184,-21.696998596191406,-47.37858581542969,-23.109888076782227,-8.127466201782227,-22.128875732421875,-22.494176864624023,2.219877004623413,-11.206683158874512,0.0,0.0,1.0,0.0,0.0,0.0,0.0
837.0,2705.98779296875,198.2809295654297,1030.0997314453125,17.0,1025.616943359375,0.060697115384615384,0.027933020144701004,0.04944990947842598,16.70166778564453,1970.6721487723296,2120.9411257528695,-421.5836181640625,24.661354064941406,6.360803604125977,112.61186981201172,3.006023645401001,-18.926197052001953,-18.546403884887695,3.300074577331543,-23.89820671081543,-37.167903900146484,-31.290311813354492,1.7469050884246826,-24.812288284301758,0.0,0.0,0.0,0.0,1.0,0.0,0.0
838.0,3997.370849609375,183.7735595703125,1742.0723876953125,50.0,1210.674072265625,0.08067491319444445,0.0228592436760664,0.04599623754620552,10.898149490356445,2357.6826144840784,2201.804945192098,-429.9649658203125,1.1569921970367432,-5.002292156219482,115.74696350097656,21.086408615112305,-22.89557647705078,-24.065935134887695,-2.0673933029174805,-23.041423797607422,-27.119155883789062,-25.16012954711914,12.886310577392578,-12.399081230163574,0.0,0.0,0.0,0.0,0.0,1.0,0.0
839.0,3999.215576171875,146.8402862548828,1109.4154052734375,254.0,883.4225463867188,0.07459138569078948,0.03197302669286728,0.07087612897157669,17.29094886779785,2006.0865670834096,2166.7019782502553,-363.17498779296875,85.21245574951172,-16.91161346435547,38.107669830322266,-3.045153856277466,-1.4999051094055176,-15.546375274658203,-27.620798110961914,-27.80706787109375,-19.582168579101562,-7.5622758865356445,8.049817085266113,-21.792871475219727,0.0,1.0,0.0,0.0,0.0,0.0,0.0
840.0,3993.437255859375,162.3765869140625,856.5235595703125,126.0,612.535888671875,0.06155056423611111,0.03647001087665558,0.06707361340522766,25.366817474365234,1615.4876578118308,1845.4601692763645,-260.9026184082031,119.6461181640625,-28.220327377319336,23.353633880615234,-26.928552627563477,-0.9620120525360107,-13.497748374938965,-32.53507995605469,-18.16931915283203,-24.73843765258789,9.066831588745117,9.229809761047363,-18.541400909423828,0.0,0.0,0.0,0.0,0.0,1.0,0.0
841.0,3954.975341796875,153.91854858398438,1273.293701171875,286.0,849.8724365234375,0.08441286670918367,0.03151526674628258,0.0751543715596199,28.280698776245117,2049.0698998399444,1952.1767365037538,-322.626220703125,76.80162048339844,-45.52682876586914,48.196983337402344,4.161924839019775,-1.7272089719772339,-42.48529052734375,-41.497108459472656,-5.441373825073242,-9.459749221801758,-7.577826023101807,-4.592922687530518,-14.231856346130371,0.0,0.0,0.0,0.0,1.0,0.0,0.0
842.0,3984.2060546875,164.9568634033203,1056.392822265625,151.0,697.6449584960938,0.06134905133928571,0.03107515349984169,0.058409158140420914,30.305940628051758,1493.9180171854064,1591.2552213398408,-267.83984375,139.3788299560547,-53.8818473815918,12.601991653442383,-35.43587112426758,4.158085823059082,-31.86920738220215,-26.167312622070312,-23.805204391479492,-17.46255874633789,-1.7027961015701294,-0.07492092996835709,-22.657262802124023,0.0,0.0,0.0,0.0,0.0,1.0,0.0
843.0,2661.07177734375,176.05247497558594,680.2276000976562,85.0,488.8130798339844,0.046421595982142856,0.044074077159166336,0.07540813088417053,18.74180793762207,1441.8494572375662,1896.932324872887,-247.7889404296875,128.2718963623047,-15.324822425842285,11.372427940368652,-24.607297897338867,-3.8206875324249268,-34.718658447265625,-32.42107391357422,-19.176528930664062,-20.39566421508789,0.6000041365623474,-6.718206882476807,-26.3432674407959,0.0,1.0,0.0,0.0,0.0,0.0,0.0
844.0,3997.48486328125,149.89303588867188,982.171875,303.0,831.6383666992188,0.060868112664473686,0.030065501108765602,0.0628221333026886,41.55830001831055,1375.9377612911308,1529.3339212710096,-331.7837829589844,146.02320861816406,-42.20166778564453,37.00050354003906,-26.047178268432617,15.117894172668457,-45.8106803894043,-40.37761306762695,-12.623785972595215,-17.044239044189453,7.9468770027160645,3.6707329750061035,-17.224584579467773,0.0,0.0,0.0,1.0,0.0,0.0,0.0
845.0,2327.5673828125,146.18397521972656,583.6895751953125,76.0,517.081298828125,0.0322509765625,0.008753838017582893,0.01395445130765438,67.04541015625,1128.3811408645552,1613.9191873656287,-519.5992431640625,135.14913940429688,3.3085944652557373,79.05562591552734,7.017597198486328,30.673992156982422,-35.811302185058594,-21.833904266357422,16.335046768188477,-31.744571685791016,-5.493279457092285,5.078312873840332,-16.73450469970703,1.0,0.0,0.0,0.0,0.0,0.0,0.0
846.0,3930.24072265625,148.19137573242188,917.9266357421875,108.0,876.9074096679688,0.05209812973484849,0.016933409497141838,0.03303553909063339,49.40534591674805,1460.1549559507985,1627.5982836023131,-425.09912109375,117.05722045898438,-24.0909423828125,97.21781158447266,-1.339316964149475,-2.460428476333618,-47.28720474243164,-9.493247032165527,13.853449821472168,-29.298372268676758,-10.171903610229492,-3.4944565296173096,-11.212617874145508,0.0,1.0,0.0,0.0,0.0,0.0,0.0
