num_change_points_diff,std_diff,mean_amplitude_envelope_diff,loudness_diff,zero_cross_diff,ber_diff,spectral_centroid_diff,spectral_bandwidth_diff,label
-21.0,-364.97979736328125,0.0056528067,0.004735448,-0.043261718750000004,[ -7.8383484  51.594315  160.55406    31.653397    2.625864 ],-835.7647518663687,-417.2733318885596,transition
-9.0,-1003.443359375,0.01163409,0.008618742,-0.0607421875,[  4.17583    42.2487    185.48465    15.55117    -2.0944538],-577.1290025478856,-459.74696345645475,transition
18.0,93.40359497070312,0.00032870285,1.5892088e-05,0.013671874999999997,[  7.3190956  -7.215523  -23.427818  -10.886269  -15.659962 ],71.55434748554308,5.289001557070151,transition
101.0,229.1279296875,0.004429696,0.0023181443,0.10029296875,[45.991096 49.357433  9.888653 26.134537 34.46324 ],1011.5789403242302,-394.87948341519245,transition
0.0,17.662185668945312,-0.00013336126,-0.0001281504,0.006152343750000001,[-11.3344     -7.7203007  -5.090372   -2.5041084   2.142006 ],68.88720834750609,108.23578597880282,transition
11.0,-58.07879638671875,0.0024321289,0.0020173376,-0.06875,[14.616012 44.03305  68.699265 63.36299  21.471241],-1149.2965372331805,-929.697106036954,transition
-3.0,155.98410034179688,-0.0023277774,-0.0020657293,0.0030273437500000014,[  -0.45984173   -4.5202465  -282.13016      39.769394     43.185013  ],56.914871004120414,-117.86146020633782,transition
2.0,-5.31976318359375,-0.0064610895,-0.0055489046,0.01220703125,[ -7.306505  -11.0552635 -15.97345    -6.1648064  -8.010515 ],85.97688727783611,107.0339623077989,transition
7.0,102.29241943359375,-0.00646186,-0.00540477,0.020117187499999998,[-32.164085  -43.83219   -47.0542    -15.08556     3.9276981],456.6750067345597,414.88268098994604,transition
-26.0,-99.83358764648438,0.018588554,0.013611948,-0.0453125,[18.743235 20.511292 15.046646 13.421978 17.860746],-731.9515379927129,-749.544743896384,transition
-7.0,-129.0787353515625,0.011455631,0.008486493,-0.006152343750000001,[-4.388736 19.133038 46.34037  22.10536  15.519775],-438.70988482128473,-469.39158738273113,transition
101.0,64.73138427734375,0.0043762163,0.0026675244,0.101171875,[ 99.18276  166.09079  134.14503   26.503609 -32.96919 ],878.8395120466234,-200.68439830002353,transition
-5.0,-20.15106201171875,0.0001665533,0.00027209515,-0.026660156249999997,[ 5.992037   2.8559093 28.036697  41.673645  81.44163  ],-481.9677064543739,-212.6727066349149,transition
-3.0,0.9325103759765625,9.866111e-05,8.858886e-05,0.0015624999999999944,[-11.773961   -4.165678   11.863241    5.3076744   5.547166 ],-22.652789166646926,-2.933145823002633,transition
-3.0,-679.6192016601562,0.005029908,0.004218892,-0.13046875,[ 45.568695 130.9003   196.31036   47.07483   10.107078],-1816.0470383368167,-1614.3296642940277,transition
-14.0,-12.94140625,-0.0015516058,-0.0015315618,-0.00634765625,[-243.88208  -291.73444  -302.9413     23.850086   13.766999],196.2952937912894,310.4591920571154,transition
-5.0,54.261199951171875,0.0045031253,0.0038841926,-0.007519531249999996,[ 1.5230713 16.673464  26.300997  11.345165  -8.105263 ],-107.45938016638047,-134.04120931383636,transition
