id,num change points,standard deviation,zero cross,loudness,amplitude envelope,band energy ratio,spectral centroid,spectral bandwidth,pitch stability,is_transition
113,0.13040291576750526,0.6359258040990743,-0.3054032595422755,0.3234598086590074,0.3076789801153946,-0.2360807304930916,-0.18992066843803965,0.1359906215592366,-0.030097702554763617,0
114,-0.39150074540157387,0.8934846873876816,-0.3858844542135269,0.25389406842912093,0.2524941381419684,-0.3099164065186833,-0.3172672442599432,0.18475931450750632,-0.030097702555129325,0
115,-0.1827392809339422,0.3718721240407254,-0.4565508690468208,-0.3016564187291154,-0.3368082318667084,-0.19993350629339718,-0.49996953154002327,-0.12395470935105948,-0.03009770255430667,0
116,-0.35670716799030194,0.4101371546015845,-0.40060662397046315,0.03541988884368703,0.11654042210902624,0.080853432341619,-0.5042994419464054,-0.7361641888539074,-0.030097702554379057,0
117,-0.1827392809339422,0.6652384279712066,-0.17486668769744088,-0.13526225998813313,-0.004640291048202498,-0.11140792761115116,-0.3142392291555306,-0.4082813667434113,-0.030097702554808786,0
118,-0.5306750550466617,0.7243835161683854,-0.4565508690468208,-0.15209292105093083,-0.10618892049563597,-0.23021731525956607,-0.4251499901899187,-0.2674911794666105,-0.03009770255489698,0
119,-0.35670716799030194,0.7921276318575182,-0.35055124679687993,-0.05417958382442824,0.06791980031827353,-0.3892876282999911,-0.13199040885885757,0.4430085004775053,-0.030097702554993423,0
120,-0.2523264357564861,0.3510769014783189,-0.026663512144282857,-0.1202414888452952,-0.007685720344592219,-0.42534938946300654,0.04883011072340223,0.5974454418987293,-0.030097702554266345,0
121,0.060815760944961376,0.9053670127402287,-0.1287372224590408,-0.03324113716180344,-0.025724684359594463,-0.3072729588538446,-0.12770368756887895,0.1637912963644065,-0.03009770255514464,0
122,-0.39150074540157387,0.28413059648428335,-0.2582923163200796,-0.11428516511520834,-0.006595921833990297,-0.08644939399000325,-0.23854790741811965,-0.13289821189979523,-0.03009770255413157,0
123,-0.21753285834521416,0.4209445012397722,-0.13757052431320244,-0.0507500454734183,0.06895128722826796,-0.34347688518676023,-0.050400834256330795,0.284883754623611,-0.030097702554399097,0
124,-0.11315212611139834,0.898047731363261,0.313909348232842,-0.20727898895779173,-0.010138315034805636,-0.43057208505596284,0.28164748994738154,0.5362543237369293,-0.030097702555135216,0
125,0.5479258447027686,0.6094903527336958,-0.09929288294516832,-0.09339909543012445,0.039902903030897566,-0.19157818659632045,-0.06358702211638287,0.01997826490444104,-0.030097702554722015,0
126,0.09560933835623332,0.026555468181522535,-0.03942272593362756,-0.22864233519813273,-0.09549188388795088,-0.12485742288749287,-0.03302998879383964,-0.019753464090506014,-0.030097702553530503,0
127,-0.4262943228128458,0.3342873785170132,-0.1100891407669215,-0.29449052138443027,-0.19819198476692954,-0.3084025656370975,0.010142750602552245,0.2959959920029531,-0.030097702554233267,0
128,0.26957722541259305,0.055445120018471246,-0.2582923163200796,-0.504687119582042,-0.4501690524793096,-0.4859956719619687,0.07190297282484563,0.8806743694174258,-0.030097702553605374,0
129,-0.07835854870012639,0.7236669305440558,0.2481503233185268,-0.618383982107796,-0.5080536192598095,-0.5226582298350201,0.3539438889914835,0.913607824835479,-0.030097702554895932,0
130,-0.14794570352267028,0.2938196443703687,0.19416903420976062,-0.5223270857053012,-0.42463142122828956,-0.5471615311510595,0.3867196698894956,0.9187852446173744,-0.030097702554151562,0
131,-0.4610879002241178,-0.6199347250769272,-0.557643101377783,-0.44534169667235673,-0.4995165963287634,-0.41660942583074967,-0.27107492336894184,0.678195027137502,-0.030097702551042417,0
132,-0.07835854870012639,0.720702115183165,-0.2072554611627007,-0.39683525086715254,-0.3297074426573922,-0.3373174231012126,0.07694973943506556,0.5100766998022189,-0.030097702554891602,0
133,-0.35670716799030194,-0.21371290393151227,0.011614129223751402,-0.42366351172781064,-0.4055322529360764,-0.31741545650158093,0.03403569320709513,0.35040736753437984,-0.03009770255281464,0
134,-0.5306750550466617,-0.10883569422328238,-0.12775574447524496,-0.3517364812163856,-0.2665355189887245,-0.43061056150350574,0.11651636661440518,0.5094881612167339,-0.03009770255314934,0
135,-0.11315212611139834,-0.21307894726806262,-0.16407042987568768,-0.26149406384378693,-0.1826072961023086,-0.35522941483493964,-0.04159795272640006,0.36698238073819667,-0.030097702552816775,0
136,-0.11315212611139834,-0.1839656757918395,0.41107566862862105,-0.5143895508842231,-0.42455140718986195,-0.4121869005199973,0.3032465519676413,0.5733853133916831,-0.030097702552913476,0
137,-0.008771393877582509,0.47456046850856004,0.09209532389500269,-0.5740690212354717,-0.48501176835809945,-0.5236578460135415,0.40256506358449085,0.8338133839621025,-0.030097702554495905,0
138,-0.39150074540157387,-0.35751577477617963,-0.17486668769744088,-0.34863366445215066,-0.29909684829788163,-0.19037707533724527,0.022546844039829216,0.03099329824152732,-0.03009770255228675,0
139,-0.008771393877582509,-0.4689594799277302,-0.4486990451764548,-0.4325017229005667,-0.4440545184998173,-0.07925603407906326,-0.3845607220171828,-0.1971249786831172,-0.030097702551809997,0
140,-0.7046429421030214,-1.478079853991006,-0.694068541125392,-0.43481023241729255,-0.5003340548199866,0.05996448218158152,-0.7356872616402476,-0.5398659016857734,-0.03009770253844012,0
141,-0.7742300969255652,-1.418010354293984,-0.5821800509726767,-0.39738659354483535,-0.49173228993638624,-0.0013142267888053235,-0.7618850902723227,-0.5191996173557235,-0.030097702540506647,0
142,-0.8090236743368372,-1.4793878784639636,-0.45066200114404636,-0.1229867808223071,-0.2257878401461596,-0.2383158360097585,-0.4701449215028846,0.13835685405894718,-0.03009770253838994,0
143,-0.6002622098692055,-0.4031919412384796,-0.16112599592430046,0.09098078670656204,-0.011997855902299112,-0.27453557722336847,-0.25971749168444097,0.30465388931308895,-0.030097702552099335,0
144,-0.6002622098692055,-1.7049605043704636,-0.713698100801307,-0.32910235874782195,-0.43039878927484165,-0.030553289307154327,-0.8379273677199482,-0.4827313281122483,-0.030097702523350728,0
145,-0.5306750550466617,-0.7349583500141709,-0.5016988563014252,-0.15400444999559001,-0.225574688593563,-0.32107761392041345,-0.323473729336248,0.34816156199166126,-0.030097702550335847,0
146,-0.4262943228128458,-1.0357373942919355,-0.3564401146996545,-0.07212365944724199,-0.1161987132390183,-0.25781973049044976,-0.16681825457843735,0.409904961234971,-0.03009770254770165,0
