num_change_points_prev,std_prev,mean_amplitude_envelope_prev,loudness_prev,zero_cross_prev,mean_ber_prev,spectral_centroid_prev,spectral_bandwidth_prev,num_change_points_next,std_next,mean_amplitude_envelope_next,loudness_next,zero_cross_next,mean_ber_next,spectral_centroid_next,spectral_bandwidth_next,is_transition,is_not_transition
46.0,1036.2236328125,0.00080986472312361,0.0004439520416781306,0.1135525173611111,30.756826400756836,1880.899730429034,1963.0548656781639,,,,,,,,,1,0
,,,,,,,,17.0,606.3511352539062,0.009884565137326717,0.006743452046066523,0.04736328125,176.0103759765625,982.9503074780519,1238.001044807814,1,0
58.0,1462.729736328125,0.0010907734977081418,0.0007581441896036267,0.1169704861111111,14.589113235473633,1950.5240766665224,2198.181058688592,,,,,,,,,1,0
,,,,,,,,43.0,372.35638427734375,0.017080159857869148,0.011259078979492188,0.03917100694444445,120.17820739746094,1115.597196319814,1364.5405269386083,1,0
56.0,393.2665100097656,0.010975267738103867,0.007110036909580231,0.041015625,102.26158905029297,1036.960295208449,1303.0721668904412,,,,,,,,,1,0
,,,,,,,,79.0,473.3507385253906,0.010829242877662182,0.007301548961549997,0.04383680555555555,85.7311019897461,1019.6950724533858,1328.701688408709,1,0
18.0,690.9705200195312,0.0018386893207207322,0.0012490218505263329,0.037543402777777776,62.60683822631836,954.8434263372081,1334.8704161833416,,,,,,,,,1,0
,,,,,,,,303.0,1012.9171142578125,0.005848302040249109,0.0032397862523794174,0.1395941840277778,113.93992614746094,2137.0715907814642,1309.1945018384527,1,0
22.0,80.89151763916016,0.001052389619871974,0.0008057858794927597,0.019856770833333332,29.406394958496094,817.2281725165257,1580.5801457450111,,,,,,,,,1,0
,,,,,,,,28.0,90.39674377441406,0.000711246277205646,0.0005323769873939455,0.020616319444444444,21.14427947998047,799.6269468490286,1730.3365342049447,1,0
41.0,1234.4156494140625,0.00011987520701950416,6.096945799072273e-05,0.20811631944444445,4.917212009429932,3263.688166674376,2848.094485454336,,,,,,,,,1,0
,,,,,,,,49.0,785.3504638671875,0.0062819127924740314,0.004187860991805792,0.052897135416666664,45.98066711425781,1522.2103609672395,1790.564765991573,1,0
3.0,99.74301147460938,0.016890907660126686,0.011920690536499023,0.019422743055555556,159.04074096679688,660.5203320002734,1239.9960986625292,,,,,,,,,1,0
,,,,,,,,44.0,359.2718200683594,0.015369212254881859,0.011032968759536743,0.03271484375,62.29302215576172,1158.821830937958,1632.458865836014,1,0
42.0,423.7529602050781,0.02369988150894642,0.01571197807788849,0.039713541666666664,69.9347915649414,1269.9045113762947,1534.510037619991,,,,,,,,,1,0
,,,,,,,,44.0,370.04083251953125,0.023495955392718315,0.014000309631228447,0.04454210069444445,76.08743286132812,1175.5787120647706,1466.7536910201861,1,0
24.0,486.6937561035156,0.019540145993232727,0.013015782460570335,0.037651909722222224,61.45989227294922,1236.6851300588326,1600.2831602434376,,,,,,,,,1,0
,,,,,,,,50.0,536.6624755859375,0.011502735316753387,0.007721987087279558,0.048882378472222224,32.60475158691406,1338.5231618924558,1732.3472777091981,1,0
127.0,923.3264770507812,0.0007065558456815779,0.00037991211866028607,0.12494574652777778,5.730405807495117,2430.9539777777627,2501.593831080289,,,,,,,,,1,0
,,,,,,,,37.0,528.9052734375,0.030560163781046867,0.019281629472970963,0.04318576388888889,22.41036605834961,1339.8339602033082,1710.094857688654,1,0
43.0,380.48486328125,0.029342781752347946,0.018444044515490532,0.03993055555555555,17.03652572631836,1490.44477944166,1972.7313547845463,,,,,,,,,1,0
,,,,,,,,53.0,371.31671142578125,0.04001735523343086,0.025810249149799347,0.04177517361111111,40.45402908325195,1138.720175577166,1484.7750163445835,1,0
104.0,873.0748291015625,0.0008948929607868195,0.0005516036180779338,0.057562934027777776,45.08330535888672,1126.3622928863474,1431.045681336768,,,,,,,,,1,0
,,,,,,,,234.0,1056.90625,0.004736810456961393,0.0028245735447853804,0.13444010416666666,155.54225158691406,1740.0693661583,1230.0912056829884,1,0
34.0,1047.053955078125,0.0014043505070731044,0.0008361477521248162,0.0646701388888889,55.17180252075195,1319.9792520783396,1513.640026943417,,,,,,,,,1,0
,,,,,,,,32.0,1192.3662109375,0.0013104411773383617,0.000910156115423888,0.059733072916666664,56.8618049621582,1185.6323658499173,1568.0267351499754,1,0
66.0,731.8402709960938,0.00036575127160176635,0.0002352052106289193,0.1279839409722222,13.66366958618164,2410.764382982554,2134.740534860979,,,,,,,,,1,0
,,,,,,,,58.0,381.3199768066406,0.0003905400517396629,0.0002864876587409526,0.1335177951388889,14.84432315826416,2195.49645719461,2084.1444923746008,1,0
75.0,772.302490234375,7.617507799295709e-05,4.9009802751243114e-05,0.2214626736111111,4.674184322357178,2928.5175924133987,2913.561205837876,,,,,,,,,1,0
,,,,,,,,41.0,308.979736328125,0.00910894200205803,0.006487065926194191,0.021321614583333332,216.53871154785156,592.5903608150898,968.5733779768418,1,0
58.0,413.3151550292969,0.0182093046605587,0.011662031523883343,0.038248697916666664,210.42396545410156,1127.1970509380117,1440.9515414802295,,,,,,,,,1,0
,,,,,,,,46.0,378.2962341308594,0.01963314414024353,0.012946005910634995,0.029839409722222224,139.9720001220703,1121.4059749005041,1412.0542325706226,1,0
19.0,441.65234375,0.036195188760757446,0.022152461111545563,0.045355902777777776,29.198238372802734,1384.4937286803042,1758.4777600529917,,,,,,,,,1,0
,,,,,,,,10.0,477.297607421875,0.03463746979832649,0.021967513486742973,0.04454210069444445,47.95532989501953,1222.5996014204825,1532.7744953323152,1,0
13.0,312.9783020019531,0.022805433720350266,0.015279341489076614,0.03200954861111111,26.36505889892578,1106.5544994207755,1720.1315180677936,,,,,,,,,1,0
,,,,,,,,29.0,350.2318420410156,0.04117346927523613,0.027781745418906212,0.04578993055555555,32.35712432861328,1460.403536446245,1888.897951005616,1,0
28.0,666.4237060546875,0.034306298941373825,0.023768208920955658,0.03868272569444445,33.659793853759766,1158.7060970752577,1617.9483694425833,,,,,,,,,1,0
,,,,,,,,8.0,346.51690673828125,0.029232073575258255,0.020055314525961876,0.040581597222222224,15.856582641601562,1377.1069612323108,2077.051517935999,1,0
71.0,554.123291015625,0.03497681766748428,0.02145756036043167,0.05750868055555555,29.01544952392578,1440.7792585171276,1756.8673126854778,,,,,,,,,1,0
,,,,,,,,64.0,407.3814392089844,0.030136490240693092,0.0191947091370821,0.04432508680555555,21.26993179321289,1450.2605822886162,1989.8026550708087,1,0
18.0,753.2819213867188,0.022338757291436195,0.014035339467227459,0.07118055555555555,31.112300872802734,1519.8109381331212,1785.6929487355123,,,,,,,,,1,0
,,,,,,,,43.0,531.3125,0.022355487570166588,0.014534292742609978,0.046223958333333336,29.38654899597168,1297.537988456339,1761.661327795232,1,0
37.0,182.60745239257812,0.029094848781824112,0.02033649943768978,0.025499131944444444,57.28281784057617,860.0974001032811,1301.6208435262943,,,,,,,,,1,0
,,,,,,,,55.0,352.7643737792969,0.02691699005663395,0.01638057827949524,0.04188368055555555,57.42926788330078,1157.858443216831,1477.1280127506584,1,0
36.0,333.1313171386719,0.029266109690070152,0.018886826932430267,0.03982204861111111,86.25904083251953,1002.3757021169533,1297.7853137694794,,,,,,,,,1,0
,,,,,,,,46.0,413.6091003417969,0.009242275729775429,0.006234562024474144,0.03770616319444445,26.15469741821289,1213.0894813242219,1686.1977972482864,1,0
114.0,1066.788330078125,5.5220825743163005e-05,2.904972279793583e-05,0.2975802951388889,3.842869281768799,3907.346378665824,2426.587930119294,,,,,,,,,1,0
,,,,,,,,72.0,1284.82470703125,5.7508685131324455e-05,2.9266208002809435e-05,0.2513563368055556,2.713961124420166,3920.444397739939,2972.9132492034364,1,0
39.0,878.9864501953125,9.687559941085055e-05,6.429458881029859e-05,0.2591145833333333,4.5970072746276855,3234.1768097677827,2939.825824286825,,,,,,,,,1,0
,,,,,,,,82.0,1250.6429443359375,3.62639912054874e-05,1.8632195860845968e-05,0.30615234375,2.822624444961548,3659.224961154872,3104.9814200451488,1,0
89.0,1089.038330078125,0.0015212517464533448,0.0009373070206493139,0.13368055555555555,85.15926361083984,2143.348294797415,1403.6652565320987,,,,,,,,,1,0
,,,,,,,,64.0,869.0448608398438,0.00270874984562397,0.0018497396958991885,0.07975260416666667,69.75540161132812,1444.3546112116305,1512.9190227166675,1,0
0.0,94.4715347290039,0.006604449357837439,0.004676856100559235,0.021104600694444444,155.52401733398438,660.8006306077625,1169.3261765033546,,,,,,,,,1,0
,,,,,,,,24.0,285.13653564453125,0.013918218202888966,0.01048958394676447,0.023111979166666668,422.28533935546875,513.8929924538637,704.6292416523199,1,0
41.0,410.0758056640625,0.019199557602405548,0.012351127341389656,0.03781467013888889,103.62969207763672,1192.9582301687303,1498.2806248952254,,,,,,,,,1,0
,,,,,,,,60.0,382.9186096191406,0.02429688163101673,0.015995284542441368,0.039984809027777776,85.41508483886719,1032.0816412115003,1348.1323000560665,1,0
64.0,634.5311279296875,0.007588579785078764,0.004933652002364397,0.06629774305555555,29.966115951538086,1471.1127243566832,1708.4588415039716,,,,,,,,,1,0
,,,,,,,,45.0,545.2369384765625,0.031518206000328064,0.0187327042222023,0.0690646701388889,49.39253234863281,1461.8367299110562,1443.9426564713547,1,0
28.0,586.6559448242188,0.02695285715162754,0.018052808940410614,0.019694010416666668,81.6948013305664,1044.8889021357527,1374.8593998878794,,,,,,,,,1,0
