id,max pitch (Cents),min pitch (Cents),mean pitch (Cents),num change points,standard deviation (Cents),zero cross,loudness,amplitude envelope,band energy ratio,spectral centroid (Cents),spectral bandwidth (Cents),mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,0
74.0,3973.152732117757,-843.8163221360552,1755.1151638930414,71.0,1522.5294390587487,0.0503162202380952,0.0178364310413599,0.0334259271621704,21.89480781555176,3106.9116741441458,3396.399106508008,-370.8357849121094,125.80193328857422,-25.01368904113769,37.2906494140625,-21.62533187866211,18.89899063110352,-44.92081451416016,-6.400440692901611,-10.4891996383667,-10.31477165222168,-9.44720458984375,11.338481903076172,-25.5325870513916,is_ga
1319.0,3334.6959284699883,-985.4934266929314,1892.547203383206,195.0,845.261294658736,0.0580322265625,0.0232730694115161,0.0445730201900005,34.73801803588867,2943.4191799699524,3154.382541714031,-335.68115234375,143.30825805664062,-32.219207763671875,4.649881362915039,-38.6831283569336,4.300156116485596,-21.62054443359375,-22.117076873779297,-3.4182114601135254,-15.124494552612305,2.554570198059082,0.5728006958961487,-30.883899688720703,is_ni
256.0,4520.605424194701,-1006.625703396534,1510.895433609,52.0,1654.700178920282,0.0407443576388888,0.0231110136955976,0.0390656851232051,27.67224502563477,3167.199905331412,3476.8235335539666,-371.1653442382813,102.62248992919922,-9.223873138427734,59.00231170654297,12.103620529174805,-12.471064567565918,-34.61140441894531,-24.38761138916016,-0.7707679271697998,-23.300561904907227,-20.23221778869629,-7.427502155303955,-28.307064056396484,is_ni
844.0,4720.191225266386,-964.3135458916216,2290.137039331674,303.0,2002.1140065756413,0.0608681126644736,0.0300655011087656,0.0628221333026886,41.55830001831055,2873.778395986586,3056.7642745453736,-331.7837829589844,146.02320861816406,-42.20166778564453,37.00050354003906,-26.047178268432617,15.117894172668455,-45.8106803894043,-40.37761306762695,-12.623785972595217,-17.044239044189453,7.946877002716064,3.670732975006104,-17.224584579467773,is_ni
191.0,4704.9632358865765,-1016.7781956180831,2013.3932056999183,198.0,1877.393148188717,0.0471051095545977,0.0089641902595758,0.0178985856473445,43.3485107421875,2986.263098037773,3285.4668167528685,-518.1195068359375,111.64076232910156,-2.1209523677825928,31.373291015625,-56.44923400878906,23.108287811279297,16.092662811279297,-31.74446678161621,-45.52590560913086,-17.66227149963379,31.369028091430664,-25.167421340942383,-40.24731063842773,is_sa
428.0,4147.111306827885,-523.7131157211676,2265.8258978903345,224.0,1347.53316313526,0.0821730090725806,0.0289896018803119,0.065300852060318,28.692325592041016,3251.3511761174163,3318.4208831650803,-321.7176513671875,105.33101654052734,-56.8260383605957,-13.384852409362791,-59.86116027832031,-3.74564790725708,-9.307069778442385,-33.901214599609375,-16.593347549438477,-24.56150245666504,2.40727972984314,0.1687825173139572,-40.972434997558594,is_ma
1103.0,4719.306863227292,-682.4945781009435,2858.3186132707497,175.0,2198.535439244781,0.0930059523809523,0.0228705611079931,0.0441654212772846,59.95592498779297,3158.620218451838,3013.062847284702,-380.0308227539063,120.04045867919922,-57.3803939819336,5.428933620452881,-54.47966766357422,-0.6447452306747437,-11.744422912597656,-24.766395568847656,-25.979122161865234,-30.85714340209961,-7.548791885375977,15.44543170928955,-39.94879150390625,is_dha
1426.0,4567.169484812938,-936.1196353533088,2508.2040707272545,77.0,2255.020250795644,0.1043565538194444,0.0274538025259971,0.053711462765932,10.237090110778809,3825.091604807675,3841.2622693381904,-355.90966796875,60.1016845703125,8.817057609558105,23.19036293029785,-51.16033935546875,-24.311960220336918,-27.49945831298828,-20.67572784423828,-21.64647483825684,-44.43391799926758,15.860236167907717,-7.868380069732666,-24.52562522888184,is_dha
177.0,4717.275202649232,-980.8772856301924,3082.718281664488,261.0,2573.3753993345226,0.5650359122983871,1.7517153537482955e-05,3.818476034211926e-05,0.7824903130531311,5374.046319994528,4497.451562330411,-955.3917236328124,11.88336181640625,33.190399169921875,4.358782768249512,12.318655967712402,9.490861892700195,8.600626945495605,4.559362888336182,10.05146598815918,4.801713943481445,10.197670936584473,2.982762098312378,0.780229389667511,is_pa
1015.0,3986.542648090284,-991.5720037466474,1778.4895924112525,86.0,1412.9594658168612,0.0423387096774193,0.0274782311171293,0.0496502071619033,94.26588439941406,2728.7500655919425,2875.695146579797,-385.7234802246094,132.5891876220703,-52.23321914672852,38.6699447631836,-12.396429061889648,10.636046409606934,-25.38286399841309,-32.3950309753418,8.219340324401855,-24.1039981842041,3.6071078777313232,-3.1161112785339355,-24.932781219482425,is_ga
