id,max pitch,max pitch prev,max pitch post,min pitch,min pitch prev,min pitch post,mean pitch,mean pitch prev,mean pitch post,num change points,num change points prev,num change points post,standard deviation,standard deviation prev,standard deviation post,zero cross,zero cross prev,zero cross post,loudness,loudness prev,loudness post,amplitude envelope,amplitude envelope prev,amplitude envelope post,band energy ratio,band energy ratio prev,band energy ratio post,spectral centroid,spectral centroid prev,spectral centroid post,spectral bandwidth,spectral bandwidth prev,spectral bandwidth post,mfcc1,mfcc1 prev,mfcc1 post,mfcc2,mfcc2 prev,mfcc2 post,mfcc3,mfcc3 prev,mfcc3 post,mfcc4,mfcc4 prev,mfcc4 post,mfcc5,mfcc5 prev,mfcc5 post,mfcc6,mfcc6 prev,mfcc6 post,mfcc7,mfcc7 prev,mfcc7 post,mfcc8,mfcc8 prev,mfcc8 post,mfcc9,mfcc9 prev,mfcc9 post,mfcc10,mfcc10 prev,mfcc10 post,mfcc11,mfcc11 prev,mfcc11 post,mfcc12,mfcc12 prev,mfcc12 post,mfcc13,mfcc13 prev,mfcc13 post,is_sa,is_ri,is_pa,is_ni,is_ma,is_ga,is_dha
50.0,4020.415798643048,3307.78118953546,3181.2168551272325,-834.1146587421742,-955.19711565595,-820.2730656561191,1715.0299061722576,1552.59270972329,1684.0864804332934,78.0,41.0,4.0,1143.8222220767689,949.6490832799024,867.6009632605848,0.04000789561170213,0.043017578125,0.04443359375,0.012732433155179024,0.01907781884074211,0.013456356711685658,0.026724476367235184,0.030923113226890564,0.02028796821832657,18.726171493530273,19.716211318969727,18.82301139831543,2860.139739523793,2895.023336694872,2756.4380691187735,3417.9783300963854,3410.898097239325,3421.4106383973244,-387.2445983886719,-320.0177307128906,-402.1764831542969,128.69644165039062,133.4078826904297,124.97977447509766,-14.519801139831543,-6.980935573577881,-6.920732021331787,20.585739135742188,25.470230102539062,16.91111946105957,5.4551262855529785,-7.9061079025268555,5.779172897338867,10.488640785217285,8.8245210647583,12.539571762084961,-15.26318645477295,-22.144258499145508,-10.923316955566406,-8.802279472351074,-15.199563980102539,-12.7479248046875,-7.851571083068848,-2.43206524848938,-9.52794075012207,-9.222363471984863,-8.86277961730957,-16.72186851501465,-9.323729515075684,-2.5531551837921143,-5.199886798858643,-7.3480706214904785,-3.766023635864258,5.8282246589660645,-7.720498085021973,-11.898027420043945,-8.93653678894043,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51.0,4470.477631689561,4703.858028951108,4005.6324871965544,-927.583788893544,-990.7275333673008,-952.3580153302538,2354.449955571229,2943.4430832516377,1697.5190542132689,180.0,69.0,15.0,1560.4660751925776,2100.5916922628116,1051.5714284792577,0.053999467329545456,0.09169921875,0.03740234375,0.017394673079252243,0.004156432114541531,0.006653051823377609,0.03425066918134689,0.006223883479833603,0.009373370558023453,21.061567306518555,5.5197014808654785,14.362211227416992,3212.184129272871,4149.612847276162,3009.1377556149037,3427.9757896672945,4031.6874604349823,3548.464352616693,-325.6729431152344,-371.99090576171875,-399.8887939453125,127.25285339355469,81.01744079589844,133.73538208007812,-26.023399353027344,-20.18670654296875,-0.6275175213813782,16.628841400146484,-1.567296028137207,23.943138122558594,-12.947513580322266,-1.1935490369796753,-1.0998814105987549,5.1624040603637695,5.793751239776611,7.633566379547119,-14.007328033447266,-8.217781066894531,-16.365968704223633,-10.182290077209473,-6.257851600646973,-7.0599365234375,-10.574638366699219,-4.904727458953857,-5.0348405838012695,1.3777389526367188,10.490486145019531,-8.070358276367188,8.024992942810059,-4.733090400695801,0.6879291534423828,11.164175987243652,5.559023857116699,3.952664613723755,-12.131817817687988,1.3596118688583374,-4.658387660980225,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52.0,4005.6324871965544,4124.371493944989,3993.879079902037,-931.6429739877756,-851.3236778824327,-778.6307412345127,1489.8792645662643,2492.465931810146,1740.2609579553541,99.0,44.0,19.0,835.8335755787108,1702.9350172431712,1243.86969872586,0.04140625,0.0596923828125,0.0504150390625,0.011240841820836067,0.00772831030189991,0.008415427058935165,0.019724862650036812,0.01103933434933424,0.012255389243364334,22.046566009521484,5.855618000030518,11.82716178894043,2790.090558058482,3913.407904188826,3238.8948559559435,3342.9555991746,4006.102740432456,3716.7404070762195,-384.2412414550781,-325.7821350097656,-360.26513671875,141.0373077392578,94.66507720947266,115.25172424316406,-7.208085060119629,-2.4606809616088867,-2.097282648086548,27.832138061523438,2.9258289337158203,32.76515197753906,-4.295856952667236,-3.2610137462615967,11.50295639038086,8.425909042358398,2.697791576385498,12.505180358886719,-12.11525821685791,-12.018791198730469,-2.0944747924804688,-8.30919361114502,4.289856910705566,-6.807601451873779,-10.061771392822266,-5.339670658111572,-10.042484283447266,-13.059623718261719,-5.464851379394531,-13.703655242919922,-7.9056549072265625,6.044976234436035,-5.845111846923828,0.5417139530181885,6.887923240661621,-3.950103998184204,-3.6748523712158203,1.8780195713043213,-5.555161476135254,0.0,0.0,0.0,1.0,0.0,0.0,0.0
53.0,4182.903248338313,3682.7484372101976,3685.0284073861144,-1013.786505875103,-892.0852887039763,-831.0560956452327,2378.903772410264,1022.8270663047318,1992.793412903487,71.0,27.0,17.0,1878.7508687786728,584.5903915833363,1370.3207932952582,0.05943714488636364,0.03232421875,0.03876953125,0.016103046014904976,0.009680813178420067,0.016359465196728706,0.03228437900543213,0.013001778163015842,0.0233582966029644,16.776140213012695,12.647825241088867,19.477981567382812,3152.8509019276703,3102.9774352960676,3016.5098829576796,3489.086431708796,3688.7045949827047,3423.901132942667,-344.5307922363281,-364.9737854003906,-336.38653564453125,109.46017456054688,120.19761657714844,126.96354675292969,-22.824405670166016,4.153951644897461,-17.346887588500977,38.566471099853516,35.013816833496094,29.7261905670166,7.84175443649292,6.798583030700684,2.516227960586548,13.824307441711426,10.39141845703125,18.30561065673828,-15.854357719421387,-1.1117467880249023,-19.545900344848633,-9.935230255126953,-8.148770332336426,-17.009695053100586,-8.05177116394043,-5.269007682800293,-2.347195625305176,-16.1431884765625,-9.319340705871582,-15.02128791809082,-10.232803344726562,-7.352036476135254,-4.526427268981934,0.040491774678230286,-6.372384071350098,9.438102722167969,-6.020509719848633,-0.7756839990615845,-14.9334077835083,1.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,4013.2630913355683,3295.289927036185,2806.352046444294,-844.0328329525349,-1015.9981483560182,-816.4301004659369,2050.5115637773993,1906.861497553838,1481.2277787595876,74.0,2.0,9.0,1359.3322306761618,1168.5886299031993,495.46638160213365,0.04560546875,0.031494140625,0.0316162109375,0.024148447439074516,0.014581996016204357,0.02797653153538704,0.04426160454750061,0.020641116425395012,0.03860311955213547,22.860363006591797,20.512332916259766,27.97201156616211,2912.0503473806375,2874.4500625052515,2549.9709370396886,3355.487576495503,3336.554305400639,3188.178318829601,-325.1687927246094,-347.03955078125,-318.28125,126.00203704833984,133.76803588867188,149.2534637451172,-21.541357040405273,-16.29224967956543,-11.715502738952637,19.691089630126953,28.092456817626953,10.352113723754883,-3.5386803150177,3.1816246509552,-0.36876487731933594,11.790447235107422,16.08053207397461,0.21582770347595215,-15.538152694702148,-14.833362579345703,-12.038265228271484,-11.966708183288574,-8.178892135620117,-2.711329936981201,-8.017295837402344,-6.1994757652282715,-7.996873378753662,-20.313352584838867,-19.892065048217773,-18.817480087280273,-6.735779762268066,-5.777551174163818,-15.375646591186523,4.665003299713135,4.08605432510376,-2.581810712814331,-15.70616626739502,-7.523463726043701,-7.320237159729004,0.0,1.0,0.0,0.0,0.0,0.0,0.0
55.0,3209.4363416675997,3565.593426823034,3946.054017663382,-894.0246931475793,-885.6091964732077,-947.1264377892091,1629.5279362031094,1738.2025837348451,1741.8340714642543,168.0,9.0,14.0,546.2912367711563,1198.5820481236194,1309.150240866104,0.041860727163461536,0.034016927083333336,0.035319010416666664,0.027118314057588577,0.01789330504834652,0.020459378138184547,0.05122588947415352,0.02664782851934433,0.03137579932808876,32.64272689819336,23.21891975402832,20.6402645111084,2525.837279592578,2804.05046206194,2834.9240991011957,3074.642398426971,3377.818022241102,3422.2172971805167,-321.03521728515625,-343.4450378417969,-323.5267028808594,154.0223388671875,138.1613006591797,139.47764587402344,-16.29612922668457,-12.41734790802002,0.19069862365722656,12.87820816040039,14.944340705871582,13.90524673461914,-8.996345520019531,2.1899807453155518,-6.857175827026367,-0.027007319033145905,7.2696757316589355,1.8027397394180298,-8.940384864807129,-7.102692127227783,-0.7303762435913086,-1.6040093898773193,-3.5035088062286377,-10.247193336486816,-9.156084060668945,-1.3312739133834839,-5.06989860534668,-14.365337371826172,-17.464521408081055,-11.060667991638184,-7.644599437713623,-10.29991626739502,-2.7812507152557373,5.076430797576904,0.8243060111999512,9.2191162109375,-5.31477165222168,-9.174777030944824,-8.894156455993652,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56.0,3950.4189123575507,2821.855050671897,3868.378297661161,-944.0341840818326,-638.1654458796343,-516.6617587788835,2221.4006227877853,1389.1964022939997,1666.2503334282403,59.0,11.0,1.0,1614.172171081953,297.4991465415284,1454.1554509149785,0.05432942708333333,0.023274739583333332,0.046712239583333336,0.030670421198010445,0.011980529874563217,0.025516146793961525,0.05755658075213432,0.014869009144604206,0.039433352649211884,19.082263946533203,26.002614974975586,19.537084579467773,3177.7943968457607,2453.3359882661534,2940.2470851505973,3512.5523213626993,3220.892298830568,3312.9000023612266,-290.0613098144531,-365.7996826171875,-300.1549987792969,116.72221374511719,160.34754943847656,137.4084930419922,-15.39173412322998,4.959773540496826,-16.708471298217773,18.50995445251465,23.33757781982422,11.8388090133667,-2.5548062324523926,5.2072577476501465,14.847456932067871,-0.7228106260299683,2.414745569229126,5.776819705963135,-7.946680545806885,-4.160533428192139,-17.553197860717773,-14.513355255126953,7.995558261871338,-9.10531997680664,0.007648976519703865,0.858954906463623,-18.79831314086914,-9.870329856872559,-14.488194465637207,-11.643279075622559,-2.233513832092285,-8.790467262268066,-2.271817922592163,10.399176597595215,2.3462717533111572,18.14662742614746,-13.610810279846191,-8.162810325622559,-20.23518943786621,0.0,0.0,0.0,0.0,1.0,0.0,0.0
57.0,3996.1961248039233,3882.1689082312882,2679.88264084789,-850.491438239614,-521.400451985438,-841.3306080087057,2514.077736962019,2131.204529453831,1716.0491358940617,94.0,9.0,10.0,1707.8969702422712,1531.0875505722754,565.9388714127672,0.07614315257352941,0.0389404296875,0.0443115234375,0.033365484327077866,0.021069608628749847,0.021525058895349503,0.06712796539068222,0.03096521645784378,0.03252565860748291,19.868215560913086,13.1118803024292,23.585268020629883,3287.3213971471064,3446.8584793533105,2810.0832682988635,3418.9605771925826,3726.845966921917,3260.9340514822043,-268.87774658203125,-265.55853271484375,-299.72021484375,116.62310791015625,118.85321044921875,146.13473510742188,-35.58287811279297,-14.500255584716797,-17.24176025390625,9.822720527648926,3.408942222595215,-2.482973337173462,-2.539503335952759,8.474804878234863,-14.364167213439941,3.8333964347839355,-5.909787654876709,7.169259071350098,-14.342775344848633,-22.130935668945312,1.117002010345459,-10.12012767791748,-2.4586527347564697,-6.732824802398682,-6.536890506744385,-9.839315414428711,-16.77957534790039,-9.347068786621094,-1.0826209783554077,-22.884471893310547,4.235195159912109,-3.378561496734619,-4.850970268249512,18.521488189697266,7.634579658508301,5.219184875488281,-16.948057174682617,-9.654253005981445,0.24060821533203125,0.0,0.0,1.0,0.0,0.0,0.0,0.0
58.0,4274.687364182202,3996.1419913295763,3488.5373846667167,-841.3306080087057,-345.720404971191,-956.0744154014394,2321.4999118524984,2455.436766531152,1847.3403097641167,235.0,32.0,12.0,1508.6182589207974,1481.7991417496196,1354.289896246103,0.06524658203125,0.05654296875,0.050390625,0.030351677909493446,0.0300449226051569,0.025599095970392227,0.06333155930042267,0.04816719889640808,0.0386551208794117,23.35723876953125,26.602657318115234,18.272918701171875,3084.244992165239,3104.774031224307,3023.0553810291663,3325.8869554013713,3270.671104830819,3382.527918898147,-263.0364990234375,-268.06842041015625,-288.8666076660156,133.1737823486328,128.5143585205078,128.3382568359375,-30.07932472229004,-39.03570556640625,-15.837226867675781,6.627090930938721,1.2820231914520264,24.64590072631836,-10.390082359313965,-18.224353790283203,2.9072794914245605,5.624263763427734,8.345464706420898,4.48317813873291,-20.038942337036133,-7.4155168533325195,-32.604164123535156,-7.8636908531188965,-12.478364944458008,-7.870379447937012,-5.272063732147217,-8.984796524047852,3.7428951263427734,-14.386856079101562,-15.285428047180176,-10.884116172790527,5.513843536376953,5.020427703857422,-10.266242980957031,7.259281158447266,18.83766746520996,5.800705432891846,-13.95320987701416,-5.878340721130371,-5.712461471557617,0.0,0.0,0.0,0.0,1.0,0.0,0.0
59.0,3909.851776719,3809.6959786162497,3437.4853336062847,-955.4841224279124,-781.0533452877444,-950.1189937321944,2069.0546247952398,2421.848206773592,1506.4587122109792,146.0,49.0,25.0,1403.5954307474294,1620.4121554532528,966.0333645090182,0.06256368885869565,0.05234375,0.02666015625,0.03147035464644432,0.017951561138033867,0.010633587837219238,0.06168140843510628,0.02693992853164673,0.014690304175019264,19.198549270629883,13.369668960571289,24.827316284179688,3079.2668710346784,3406.423010663724,2653.952539841134,3405.647072756824,3677.931685456147,3249.514033032883,-269.551025390625,-280.61572265625,-372.5678405761719,126.81602478027344,115.60646057128906,148.71041870117188,-21.53321075439453,-12.209546089172363,-8.767847061157227,16.4588565826416,16.949493408203125,32.77298355102539,-3.7860302925109863,2.4567348957061768,3.5871834754943848,3.6649744510650635,0.15852341055870056,12.193044662475586,-32.1743049621582,-35.691959381103516,-18.887531280517578,-18.506452560424805,-15.607269287109375,-11.393379211425781,1.082903265953064,-0.5102453827857971,-0.39651888608932495,-6.737869739532471,-10.95439624786377,-2.1029601097106934,-0.2641140818595886,-6.621304512023926,-3.021801471710205,5.383713245391846,12.056715965270996,8.888278007507324,-9.673135757446289,-7.946608066558838,-7.693046569824219,0.0,0.0,0.0,0.0,0.0,1.0,0.0
