num_change_points_prev,std_prev,mean_amplitude_envelope_prev,loudness_prev,zero_cross_prev,mean_ber_prev,spectral_centroid_prev,spectral_bandwidth_prev,num_change_points_next,std_next,mean_amplitude_envelope_next,loudness_next,zero_cross_next,mean_ber_next,spectral_centroid_next,spectral_bandwidth_next,0
20.0,368.3825378417969,0.050729464739561,0.0306797251105308,0.0306532118055555,41.305423736572266,971.1358253006904,1492.1569082580083,,,,,,,,,is_transition
26.0,397.2781677246094,0.0380465425550937,0.0219362638890743,0.0551215277777777,11.510007858276367,1925.303774086328,2380.231819016086,,,,,,,,,is_not_transition
60.0,1133.092041015625,0.0736536234617233,0.0430438965559005,0.0757921006944444,23.525609970092773,2016.4849110262123,1905.647298648588,,,,,,,,,is_not_transition
88.0,946.47802734375,0.0049326978623867,0.0033227698877453,0.1428493923611111,8.007650375366211,2764.4091998875456,2169.834712929774,,,,,,,,,is_transition
,,,,,,,,19.0,787.5933837890625,0.0912175551056861,0.0550150498747825,0.0707465277777777,15.614990234375,2261.560032781597,2231.551905706238,is_transition
,,,,,,,,30.0,817.0530395507812,0.0543581880629062,0.0327235907316207,0.0585394965277777,20.355735778808597,1759.222308548514,1885.075686583089,is_transition
,,,,,,,,46.0,1225.792724609375,0.1129883602261543,0.0657373368740081,0.0840928819444444,8.809876441955566,2246.341527017565,2306.548986370769,is_transition
,,,,,,,,11.0,344.8092956542969,0.0400482788681983,0.0270383246243,0.0301649305555555,29.41414451599121,1191.758632250805,1737.9737165799802,is_transition
180.0,1011.6257934570312,1.724890898913145e-05,9.214478268404491e-06,0.41015625,1.5348223447799685,4837.077180134937,2996.008001743514,,,,,,,,,is_not_transition
20.0,840.29541015625,0.0410363860428333,0.0272857341915369,0.0364583333333333,37.00946044921875,1302.1901381040884,1646.1442070044577,,,,,,,,,is_transition
73.0,856.0803833007812,0.0383295379579067,0.02410807646811,0.0597330729166666,29.72273826599121,1578.4509404963878,1651.730107093355,,,,,,,,,is_not_transition
,,,,,,,,19.0,319.55517578125,0.033133003860712,0.0221351217478513,0.04052734375,392.41064453125,1220.3033169003584,1546.4427598618106,is_transition
19.0,507.6690979003906,0.0378585793077945,0.0246892999857664,0.0257703993055555,28.851449966430664,1549.8421906093236,1843.6188093644528,,,,,,,,,is_not_transition
36.0,392.28131103515625,0.0830456539988517,0.0433773286640644,0.0762803819444444,18.31859588623047,1909.8231215429796,1930.3318492979984,,,,,,,,,is_not_transition
13.0,328.1519470214844,0.0227670948952436,0.014869132079184,0.0294053819444444,24.742584228515625,1265.0484613297526,1817.6959450230324,,,,,,,,,is_not_transition
,,,,,,,,85.0,880.9000854492188,0.0830836072564125,0.0479903370141983,0.0616861979166666,16.70369529724121,1879.1936693558412,2000.0100079711276,is_transition
57.0,509.7723388671875,0.0057808137498795,0.0038040305953472,0.0456814236111111,18.15649032592773,1363.765102378425,1881.566733626238,,,,,,,,,is_transition
84.0,1353.1092529296875,0.0001762798492563,8.899492240743712e-05,0.2154947916666666,7.760705947875977,3223.072129424856,2403.511655067362,,,,,,,,,is_transition
26.0,682.4376831054688,0.0042532891966402,0.0028543546795845,0.0617404513888888,26.735679626464844,1737.9059730417405,1966.0128160146317,,,,,,,,,is_transition
,,,,,,,,45.0,413.4572143554688,0.0575949177145957,0.0367983244359493,0.0426974826388888,23.79680633544922,1459.7872375478312,1817.1856129903383,is_transition
,,,,,,,,49.0,747.12646484375,0.0611522495746612,0.0365605913102626,0.0930989583333333,11.560020446777344,2091.730206172034,2247.876259547516,is_transition
82.0,732.6315307617188,0.0838421061635017,0.0492651164531707,0.0626085069444444,22.80569076538086,1612.9606258933163,1754.2743879646264,,,,,,,,,is_not_transition
22.0,304.1718139648437,0.022680677473545,0.0154388546943664,0.0289713541666666,23.69942855834961,1152.7800565727491,1842.538228078208,,,,,,,,,is_transition
119.0,505.6979675292969,0.0380412302911281,0.0218738690018653,0.0778537326388889,45.74929428100586,1547.2116396623103,1630.4262848759774,,,,,,,,,is_not_transition
19.0,419.0144958496094,0.0337448790669441,0.0223291553556919,0.0320095486111111,69.69213104248047,1051.798945763186,1382.6632322955616,,,,,,,,,is_not_transition
,,,,,,,,27.0,848.4404907226562,0.1021646112203598,0.0547359213232994,0.1152886284722222,15.825443267822266,2186.529995091183,2071.668083538354,is_transition
19.0,891.1636962890625,0.0587744228541851,0.0358778871595859,0.0450846354166666,86.21844482421875,1270.0551520071654,1461.1893295818832,,,,,,,,,is_not_transition
16.0,305.43231201171875,0.0549900829792022,0.0373162180185318,0.0321723090277777,105.42868041992188,1074.10621992471,1393.2096299493817,,,,,,,,,is_not_transition
14.0,458.9398193359375,0.0298261120915412,0.0187663175165653,0.0303819444444444,80.52293395996094,1205.49405675177,1476.3069485173696,,,,,,,,,is_transition
38.0,798.0298461914062,0.0570856779813766,0.0319151692092418,0.08447265625,8.30248737335205,2182.816734437146,2269.1599854848087,,,,,,,,,is_not_transition
76.0,780.4248657226562,0.0489839650690555,0.0302149187773466,0.0679796006944444,25.92548179626465,1547.4746566710808,1617.6130034377288,,,,,,,,,is_not_transition
,,,,,,,,46.0,1245.353759765625,0.0044213607907295,0.0021639605984091,0.2139756944444444,32.15504455566406,3137.963262207338,1776.405669042117,is_transition
51.0,755.1961059570312,0.0254725981503725,0.0143205625936388,0.0975477430555555,13.032648086547852,2059.8209468009536,2220.572911537094,,,,,,,,,is_not_transition
,,,,,,,,29.0,868.3759765625,0.0118720699101686,0.0081612579524517,0.0741644965277777,14.833524703979492,2009.263684677656,2019.487884009218,is_transition
,,,,,,,,178.0,802.3599853515625,0.0007655915105715,0.0004183312994427,0.23095703125,2.787837028503418,4169.473374541317,3391.1456316167373,is_transition
,,,,,,,,20.0,309.3217468261719,0.0614616870880126,0.0414960421621799,0.0340711805555555,22.84844970703125,1293.2143047194008,1877.813048055848,is_not_transition
16.0,254.3312530517578,0.0189025290310382,0.0121939620003104,0.0285373263888888,31.22314071655273,930.3658493086344,1647.6679733817814,,,,,,,,,is_not_transition
40.0,959.22314453125,0.0380340479314327,0.0236230865120887,0.0528971354166666,16.73072624206543,1555.138350538526,1982.1767474566725,,,,,,,,,is_transition
,,,,,,,,20.0,380.8096923828125,0.0896771401166915,0.0557554811239242,0.0495334201388888,83.29322052001953,1169.9592383007043,1430.7961925502725,is_transition
,,,,,,,,38.0,665.80810546875,0.0018517093267291,0.0013524701353162,0.0596245659722222,8.004008293151855,2119.557652774847,2796.776893165301,is_transition
39.0,552.958740234375,0.0576720982789993,0.0386792868375778,0.0469835069444444,101.12701416015624,1094.756029089689,1231.6822043052207,,,,,,,,,is_transition
,,,,,,,,121.0,1121.0628662109375,2.8050742912455465e-05,2.367416527704336e-05,0.4090711805555556,0.9239187240600586,5557.774597248296,2563.052522130541,is_not_transition
,,,,,,,,39.0,809.3953247070312,0.0519906505942344,0.0310358144342899,0.0472547743055555,41.67654037475586,1606.4030564550412,1679.1129267123038,is_not_transition
,,,,,,,,11.0,949.0680541992188,0.0414992459118366,0.0204108580946922,0.1361762152777778,15.787431716918944,2486.77944455479,2050.7877458740827,is_transition
38.0,165.6080780029297,0.0005969142075628,0.0004888898110948,0.0617947048611111,23.56134605407715,1450.1744686965349,2134.656708054816,,,,,,,,,is_not_transition
48.0,713.615966796875,0.0739120319485664,0.0404216572642326,0.0788845486111111,9.084763526916504,2368.4993053010407,2294.62027931081,,,,,,,,,is_not_transition
20.0,742.8784790039062,0.0411731749773025,0.0224531516432762,0.0800238715277777,15.947650909423828,2128.076530521458,1938.556129588024,,,,,,,,,is_not_transition
16.0,937.8701782226562,0.034273687750101,0.0231103301048278,0.0448133680555555,49.6570930480957,1462.0262103120667,1609.411217778135,,,,,,,,,is_not_transition
28.0,887.7491455078125,0.0381791442632675,0.0191266648471355,0.1023763020833333,6.407985210418701,3010.5121151486837,2517.580046147121,,,,,,,,,is_transition
,,,,,,,,41.0,298.37261962890625,0.0209840219467878,0.0144876586273312,0.0361328125,678.2974853515625,783.5420734757441,1049.638265013561,is_transition
,,,,,,,,38.0,443.52044677734375,0.0439118333160877,0.0263158902525901,0.04150390625,37.78080749511719,1263.9045429151934,1532.034264927734,is_transition
,,,,,,,,68.0,618.5302124023438,0.0163975395262241,0.0108262682333588,0.0478515625,42.33622741699219,1351.3432410980747,1609.333840329645,is_transition
,,,,,,,,7.0,888.7111206054688,0.0182415153831243,0.0129364319145679,0.0382486979166666,12.639931678771973,1976.0621206829585,2277.851225696064,is_not_transition
15.0,310.6999816894531,0.0024908357299864,0.0017324002692475,0.0374348958333333,20.40200424194336,1654.3356921551422,2003.2216982529285,,,,,,,,,is_transition
,,,,,,,,47.0,868.838623046875,0.0459060706198215,0.0253155436366796,0.0822482638888889,10.113683700561523,2371.576314987466,2300.315140003049,is_transition
29.0,364.6816101074219,0.0482336245477199,0.0296057965606451,0.0582682291666666,34.410621643066406,1342.8199637290888,1668.1615743296582,,,,,,,,,is_transition
177.0,685.7732543945312,0.0094434712082147,0.0064597511664032,0.2186414930555555,11.608769416809082,2770.0098245985323,2311.2942652073984,,,,,,,,,is_transition
14.0,224.35287475585935,0.0532853975892066,0.0343037620186805,0.0252821180555555,698.171142578125,753.9998255098521,1023.862163162774,,,,,,,,,is_transition
129.0,1068.8800048828125,0.0883911922574043,0.0490176975727081,0.0979275173611111,21.643659591674805,2098.1801047465256,1979.8789007055368,,,,,,,,,is_transition
4.0,770.58056640625,0.0298581831157207,0.019603231921792,0.0262586805555555,23.0511417388916,1185.2665798540647,1856.8555892238824,,,,,,,,,is_not_transition
204.0,1053.218994140625,5.261207661533263e-06,3.582686076697428e-06,0.3152669270833333,0.969528317451477,5720.625241485072,2895.403141550499,,,,,,,,,is_transition
119.0,1123.7900390625,1.586649705132004e-05,8.268975761893671e-06,0.4530707465277778,0.8686594367027283,5767.540945021354,2906.172398496749,,,,,,,,,is_not_transition
,,,,,,,,99.0,1094.2615966796875,0.0001558670337544,8.628060459159315e-05,0.31689453125,7.429350852966309,4147.8771169531055,1822.0931377516577,is_not_transition
26.0,421.4421997070313,0.0364728607237339,0.021145736798644,0.0592447916666666,58.18899154663086,1252.701602350437,1379.8465666530917,,,,,,,,,is_transition
,,,,,,,,71.0,572.23681640625,0.0780564695596695,0.0455494485795497,0.0558268229166666,30.61528205871582,1499.4367667985537,1602.6879165125515,is_not_transition
,,,,,,,,111.0,555.4890747070312,0.0420350730419158,0.0247562639415264,0.0643988715277777,18.782262802124023,1645.3557157196951,1910.860443081148,is_transition
16.0,148.334228515625,0.008688517846167,0.0059385183267295,0.0179578993055555,137.41586303710938,442.5198264567491,901.0207542128528,,,,,,,,,is_not_transition
87.0,322.9931030273437,0.0006641882937401,0.0003721441025845,0.2117513020833333,21.438215255737305,3215.776110887898,1729.8899911433946,,,,,,,,,is_not_transition
,,,,,,,,52.0,688.7850952148438,0.050175055861473,0.0316610448062419,0.0402560763888888,18.09421730041504,1478.8108730719705,1865.488454691875,is_transition
41.0,226.4636993408203,0.033141478896141,0.0238533709198236,0.0283745659722222,31.05432510375977,962.084401135104,1643.6302383895031,,,,,,,,,is_transition
,,,,,,,,130.0,1112.5341796875,2.302509346918669e-05,1.2924928341817576e-05,0.3580186631944444,1.3383158445358276,4610.3630405360855,3480.268014046605,is_not_transition
,,,,,,,,76.0,800.1633911132812,0.0611848980188369,0.0339436344802379,0.0756293402777777,117.94818878173828,1399.1385566718498,1286.7353856847922,is_not_transition
128.0,732.5057373046875,0.0084405615925788,0.0054729524999856,0.0755208333333333,8.861262321472168,1888.4053476369245,2371.95575389672,,,,,,,,,is_not_transition
307.0,1098.2635498046875,1.4371945326274728e-05,7.267564342328114e-06,0.4798177083333333,1.1844735145568848,5359.635459043306,2686.151189513332,,,,,,,,,is_transition
,,,,,,,,33.0,901.7296752929688,0.0372410714626312,0.0233077332377433,0.0515950520833333,21.35073471069336,1765.8552415938057,1963.3353159685685,is_transition
,,,,,,,,19.0,358.2480773925781,0.0550289712846279,0.034970287233591,0.0410698784722222,171.6748504638672,1137.5265965599228,1376.1229277535558,is_transition
70.0,704.4041748046875,0.046239748597145,0.0279389657080173,0.0646158854166666,14.941431999206545,1830.0179209294936,2086.373164037743,,,,,,,,,is_transition
20.0,244.73919677734372,0.0566652454435825,0.0418777130544185,0.0218641493055555,61.62306213378906,744.6308966123256,1197.9966442095838,,,,,,,,,is_transition
,,,,,,,,82.0,448.8604736328125,0.0614100471138954,0.0413827933371067,0.0516493055555555,59.1322021484375,1198.0654872959835,1450.0509323335364,is_transition
,,,,,,,,338.0,957.3181762695312,0.0076044183224439,0.0080473683774471,0.2009006076388889,16.12781524658203,2829.31090919839,1640.4631082663125,is_transition
,,,,,,,,67.0,648.267822265625,0.0609240718185901,0.0344626456499099,0.0580512152777777,52.69293594360352,1393.2721399573538,1466.9262083403778,is_transition
26.0,537.3001708984375,0.0438590534031391,0.0262989737093448,0.0519748263888888,19.024553298950195,1635.255562248368,1834.7344381990688,,,,,,,,,is_not_transition
34.0,845.3916015625,0.0674192532896995,0.0415347032248973,0.0587022569444444,14.34979248046875,1983.213192450035,2118.721589443277,,,,,,,,,is_not_transition
12.0,57.15663909912109,0.0018205594969913,0.0013374288100749,0.0216471354166666,13.106035232543944,1180.7634530147966,2284.650778545787,,,,,,,,,is_not_transition
