num_change_points_prev,std_prev,mean_amplitude_envelope_prev,loudness_prev,zero_cross_prev,ber_prev,spectral_centroid_prev,spectral_bandwidth_prev,num_change_points_next,std_next,mean_amplitude_envelope_next,loudness_next,zero_cross_next,ber_next,spectral_centroid_next,spectral_bandwidth_next,target
6.0,665.9224243164062,0.0784124135971069,0.0461754724383354,0.06943359375,,2268.667323523515,2149.917161400782,,,,,,,,,is_not_transition
,,,,,,,,14.0,721.5015258789062,0.0489059053361415,0.0333293564617633,0.0359375,,1763.3835633662677,2159.537583748013,is_transition
,,,,,,,,10.0,847.9425048828125,0.0513655394315719,0.028441946953535,0.10537109375,,2387.662995225991,1967.2675103226236,is_transition
,,,,,,,,19.0,590.8374633789062,0.0608912259340286,0.0392803288996219,0.06044921875,,1690.4125105240669,1709.085400290175,is_transition
,,,,,,,,100.0,899.043212890625,0.0001305674377363,6.60661535221152e-05,0.18076171875,,2994.028960455268,2057.5362927058472,is_transition
,,,,,,,,14.0,685.2532348632812,0.0460913851857185,0.030156135559082,0.06396484375,,1727.4901040398586,1848.6003934774567,is_transition
18.0,656.5116577148438,0.0738911405205726,0.0479378029704093,0.0498046875,,1458.5970766885018,1664.131761378086,,,,,,,,,is_not_transition
28.0,862.5382690429688,0.0579530708491802,0.0340645276010036,0.06884765625,,2102.509837993366,1868.9123968760227,,,,,,,,,is_not_transition
,,,,,,,,86.0,1108.3115234375,0.0016732829390093,0.0009472219389863,0.13271484375,,2611.5013860502518,1960.6239559500311,is_transition
,,,,,,,,21.0,905.3871459960938,0.0304346587508916,0.0169700272381305,0.09794921875,,2284.4997154016337,2092.682281132621,is_transition
,,,,,,,,25.0,435.858642578125,0.0373680107295513,0.0243424586951732,0.040625,,1392.8923217564327,1695.239216294832,is_transition
,,,,,,,,15.0,686.1282348632812,0.0071840174496173,0.0047050770372152,0.04169921875,,1456.7141811785868,1612.9064929353412,is_transition
,,,,,,,,51.0,974.3564453125,0.0399271249771118,0.0253865662962198,0.06044921875,,1540.6642246474453,1697.7466943196257,is_transition
16.0,968.580078125,0.0322281792759895,0.0170972235500812,0.0970703125,,2683.7739708548493,2465.585223281446,,,,,,,,,is_not_transition
27.0,814.4196166992188,0.050628375262022,0.0320837758481502,0.07158203125,,2152.994450984226,2248.883210091025,,,,,,,,,is_not_transition
,,,,,,,,17.0,554.9470825195312,0.0109344124794006,0.0058197667822241,0.3140625,,5050.871719422345,1742.0404713765377,is_transition
,,,,,,,,20.0,346.4342956542969,0.0455837361514568,0.0299007948487997,0.03935546875,,1375.5573764397095,1763.5452863228518,is_transition
14.0,184.3112945556641,0.0314842760562896,0.0240577701479196,0.02470703125,,1123.2197325527372,1743.272635571016,,,,,,,,,is_not_transition
17.0,528.811279296875,0.0340470746159553,0.0211934931576252,0.0791015625,,1774.6036905770345,1758.2196197165715,,,,,,,,,is_not_transition
,,,,,,,,12.0,711.6787719726562,0.0407808348536491,0.0271884556859731,0.04990234375,,1648.7482604936092,1951.2259506388216,is_transition
30.0,829.793701171875,0.0357844941318035,0.0217750500887632,0.0517578125,,1852.2416097423816,1790.688368568471,,,,,,,,,is_not_transition
,,,,,,,,36.0,811.3860473632812,0.0289678759872913,0.0187579076737165,0.05029296875,,1547.9024442616674,1675.4074034822274,is_transition
8.0,325.2725830078125,0.0383299365639686,0.0239191316068172,0.0560546875,,1721.1944514240272,1942.8550988754016,,,,,,,,,is_not_transition
,,,,,,,,14.0,639.6248168945312,0.0362643264234066,0.0266304165124893,0.03125,,1431.9669236835302,1832.784144989916,is_transition
,,,,,,,,10.0,321.4242858886719,0.0534384250640869,0.036227848380804,0.0357421875,,1175.24265975537,1619.6914264816326,is_transition
,,,,,,,,19.0,239.0444183349609,0.0126725621521472,0.0096666058525443,0.0220703125,,1256.1145508839288,1922.7540485268044,is_transition
85.0,779.3263549804688,0.0303648617118597,0.0208042431622743,0.05537109375,,2157.526864230151,2362.8558010814168,,,,,,,,,is_not_transition
19.0,498.208984375,0.0364623367786407,0.0263298843055963,0.033984375,,972.1815220413896,1177.5204467618134,,,,,,,,,is_not_transition
28.0,315.6612548828125,0.0194678828120231,0.0140983089804649,0.0283203125,,1051.7290674492822,1513.882335640617,,,,,,,,,is_not_transition
,,,,,,,,8.0,252.8007354736328,0.0264264531433582,0.0185881461948156,0.02216796875,,1006.5762068398589,1654.81130586505,is_transition
23.0,1337.6927490234375,0.1264233142137527,0.0720478743314743,0.08056640625,,2069.6046782463864,1927.244341706364,,,,,,,,,is_not_transition
8.0,439.56585693359375,0.0238025467842817,0.0173731204122304,0.0212890625,,1235.1885627836832,1724.745151774077,,,,,,,,,is_not_transition
16.0,122.85466766357422,0.0105409286916255,0.0084249880164861,0.01767578125,,997.3296130147952,1770.240354063039,,,,,,,,,is_not_transition
,,,,,,,,15.0,760.34423828125,0.0565611571073532,0.0342221669852733,0.07314453125,,2055.9584246466147,2033.4695727937808,is_transition
12.0,588.1167602539062,0.0426214076578617,0.0297752525657415,0.0376953125,,1738.778391953026,2116.6397177606946,,,,,,,,,is_not_transition
12.0,470.2437744140625,0.0318601429462432,0.0205077212303876,0.04482421875,,1562.2554560161711,1709.5190753083978,,,,,,,,,is_not_transition
,,,,,,,,4.0,726.7241821289062,0.0234715621918439,0.0161060355603694,0.032421875,,1469.3228635331975,1806.0915402493413,is_transition
12.0,431.3487854003906,0.0654605403542518,0.0433212891221046,0.040625,,1018.187523298105,1214.2676805048254,,,,,,,,,is_not_transition
