id,max pitch,min pitch,mean pitch,num change points,standard deviation,zero cross,loudness,amplitude envelope,band energy ratio,spectral centroid,spectral bandwidth,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,prev_sa,prev_ri,prev_ga,prev_ma,prev_pa,prev_dha,prev_ni,next_sa,next_ri,next_ga,next_ma,next_pa,next_dha,next_ni,is_sa,is_ri,is_pa,is_ni,is_ma,is_ga,is_dha
499.0,4285.404485023036,-957.0446446545325,2339.382984996349,269.0,1617.0230462336606,0.07942708333333333,0.04482428357005119,0.10032317042350769,17.1850643157959,1743.1610847728666,1905.9369562067284,-242.19371032714844,115.45732879638672,-25.15503692626953,6.970945835113525,-24.601953506469727,15.487690925598145,-11.618623733520508,-3.5569121837615967,-3.6798181533813477,-7.377986907958984,2.8939855098724365,2.7210772037506104,-23.123220443725586,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
500.0,4720.7101889247,-829.3376893181147,2836.928657047657,202.0,2191.3314004618796,0.08633277529761904,0.05820102244615555,0.11902261525392532,16.708114624023438,1985.1492318734183,1978.4978637610136,-193.30657958984375,99.82132720947266,-32.02431869506836,25.410512924194336,-15.726024627685547,7.601670265197754,-12.220084190368652,-16.527761459350586,-8.133760452270508,-8.484021186828613,2.251847982406616,7.6939005851745605,-18.483240127563477,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
501.0,4719.116225190625,-985.4900369971416,2625.3437052787776,260.0,2379.410236022806,0.085693359375,0.057183485478162766,0.11949175596237183,22.163673400878906,1828.9571448840034,1901.4815457433735,-174.46409606933594,125.0465087890625,-24.298736572265625,24.109960556030273,-32.63402557373047,7.0574541091918945,-1.1711093187332153,-19.235734939575195,3.37799334526062,-5.233884334564209,7.36492395401001,10.1688232421875,-19.804931640625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
502.0,4720.149143170704,-944.8793547787967,2401.08167876925,221.0,1932.1259048078052,0.07753057065217392,0.058663662523031235,0.11763863265514374,19.136451721191406,1693.4291406329212,1943.3208862699346,-197.35308837890625,124.41839599609375,-20.411945343017578,19.184144973754883,-21.994361877441406,4.143203258514404,-5.935192584991455,-17.95919418334961,-6.515918731689453,-3.050330877304077,1.117546558380127,4.657344818115234,-27.558683395385742,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
503.0,4618.2371755664535,-1008.3772893452248,2426.306555920694,176.0,1805.332656259732,0.06889415922619048,0.06469206511974335,0.12361618131399155,21.611366271972656,1715.2970432134152,1869.1647303293405,-181.6542205810547,120.84342193603516,-30.139738082885742,32.80546188354492,-5.756949424743652,-2.3016605377197266,-29.903282165527344,-22.799728393554688,3.58571195602417,-7.402170658111572,-2.841111660003662,9.61849594116211,-15.277076721191406,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
504.0,4009.806395665268,-1000.49521411857,1962.3996912967066,58.0,1255.9027570992293,0.04480698529411765,0.037816163152456284,0.0654204860329628,21.68317985534668,1475.467488159564,1868.9055203665616,-269.4490051269531,124.66288757324219,-15.915814399719238,32.50448226928711,9.953014373779297,4.751713752746582,-15.304630279541016,-10.657632827758789,-1.8416050672531128,-11.251290321350098,-13.103338241577148,-2.983724594116211,-9.981398582458496,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
505.0,4235.170667188287,-1007.837205726561,1194.5486204002832,154.0,865.431838001666,0.03406982421875,0.02590821124613285,0.0484074130654335,36.138885498046875,1118.8576090131355,1630.4794006193129,-334.7508850097656,148.46499633789062,-6.6202216148376465,38.84733581542969,3.1834871768951416,10.85882568359375,-2.3663785457611084,-5.581897735595703,-8.605294227600098,-7.931971549987793,-8.528120040893555,-6.29177188873291,-7.138646125793457,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
506.0,3601.0701754477127,-1006.1695773327642,1888.489804672299,71.0,1202.7103424355114,0.04405146059782609,0.02502378635108471,0.04812133312225342,20.14929962158203,1445.2421544668791,1897.7071358534515,-305.4563293457031,129.5112762451172,-8.329209327697754,26.800447463989258,-2.5009360313415527,17.649377822875977,-2.3078458309173584,-7.571390628814697,-12.578313827514648,-8.605329513549805,-7.065018177032471,-0.5219253301620483,-6.03383207321167,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
507.0,4667.740187791416,-877.1470970185312,2310.788628763024,246.0,2312.2070525405293,0.05928902004076087,0.022838657721877098,0.053341951221227646,26.89200782775879,1456.6977188084063,1802.9862765722457,-329.3970642089844,123.73904418945312,-22.872987747192383,43.24095153808594,4.360456943511963,8.697263717651367,6.996750354766846,-10.672911643981934,-9.698241233825684,-4.966396808624268,-15.483951568603516,0.2321552187204361,-1.9806419610977173,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
508.0,3683.939875432292,-889.3126398919433,1810.4411239402205,113.0,1005.4756670723409,0.0516845703125,0.019628243520855904,0.035731807351112366,22.616111755371094,1369.057153199315,1785.831552662093,-338.89923095703125,133.15260314941406,-12.81578540802002,20.25082778930664,-10.893387794494629,19.785009384155273,-12.305534362792969,-17.955562591552734,-15.654556274414062,-16.972627639770508,-4.313412189483643,9.061904907226562,-5.007704734802246,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
